step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0
134000	134	4.3736	26563.1	1661.39	5975.4	4473.27	102.144	25708.1	5536.99	0.0295	59
135000	135	4.40436	26769.7	730.16	5388.78	4444.76	103.699	25575.3	70.9881	0.03	60
136000	136	4.4649	27164.4	748.464	5388.65	4303.59	134.958	25851.2	17.0843	0.0305	61
137000	137	4.44362	27048.3	956.489	5607.26	4619.51	154.838	25848.5	11.9762	0.0315	63
138000	138	4.33339	26383.9	1629.96	6040.93	4404.22	106.769	25895.6	34199.9	0.0335	67
139000	139	4.46278	27185	718.641	5433.14	4510.27	110.58	25360.7	669.184	0.034	68
140000	140	4.36106	26598.1	570.545	5529.02	4662.29	95.828	25820.3	13.7506	0.0345	69
141000	141	4.29987	26231.4	155.856	5597.38	4560.3	146.42	25524.7	0	0.0345	69
142000	142	4.42618	27001.9	1937.78	5573.31	4500.55	137.648	25781.9	823.438	0.0365	73
143000	143	4.44092	27091.9	1183.94	5724.14	4379.85	139.275	25810.3	244.307	0.038	76
144000	144	4.37741	26737.2	435.657	5326.42	4482.3	124.951	25676.4	63.7656	0.0385	77
145000	145	4.42972	27083.3	1324.07	5664.51	4547.15	143.128	25589.3	22.3997	0.0395	79
146000	146	4.41134	26977.6	817.941	5517.51	4379.96	140.516	25512.7	141.302	0.04	80
147000	147	4.44266	27182.4	962.678	5603.36	4292.17	162.319	25791.5	9.96318	0.041	82
148000	148	4.46127	27303	1465.84	5482.3	4469.85	150.846	25455.9	0.240362	0.0425	85
149000	149	4.53407	27748.5	377.373	5607.73	4455.32	169.348	25936.5	24.2831	0.043	86
150000	150	4.43673	27172.7	1972.71	5697.93	4501.36	157.786	25067.5	1.78771	0.045	90
151000	151	4.49554	27533	2271.11	5382.82	4580.06	193.807	25055	118.97	0.0475	95
152000	152	4.42834	27147.9	144.613	5422.32	4504.38	178.931	25419.8	50.1887	0.0475	95
153000	153	4.39467	26967.9	1064.1	5494.19	4337.37	262.128	25714.5	4.90359	0.0485	97
154000	154	4.34004	26632.6	370.635	5694.62	4474.72	242.136	25593.1	51.7805	0.049	98
155000	155	4.43272	27214.7	1454.33	5375.45	4469.66	228.398	25179.1	13.7695	0.05	100
156000	156	4.45986	27388	506.428	5483.19	4559.37	249.441	25155.9	12.454	0.0505	101
157000	157	4.42825	27207.2	857.74	5576.24	4576.95	207.138	25222.7	0.693826	0.051	102
158000	158	4.33315	26622.9	1275.4	5774.2	4230.08	225.611	25867.6	43.5022	0.0525	105
159000	159	4.51407	27741.2	783.052	5435.35	4453.61	202.81	26207.9	55.6865	0.053	106
160000	160	4.35249	26774.4	1402.24	5571.58	4567.76	245.46	25915.6	13.2638	0.0545	109
161000	161	4.45016	27381.8	791.036	5571.29	4683.02	224.365	25833.3	74.1707	0.055	110
162000	162	4.45756	27447.4	306.638	5513.66	4342.95	223.213	26100.7	17.9572	0.055	110
163000	163	4.51193	27789	1515.29	5383.59	4477.18	214.769	26079.9	0.109551	0.056	112
164000	164	4.4424	27360.8	1503.11	6271.67	4381.29	234.54	25935	29.1684	0.057	114
165000	165	4.41953	27233.2	644.774	5622.45	4271.6	245.385	26178.6	31.6217	0.0575	115
166000	166	4.4196	27246.8	236.341	5334.11	4561.84	216.51	26415.4	36.6953	0.0575	115
167000	167	4.4647	27538.2	787.628	5715.88	4555.82	235.056	26247.2	0.0117602	0.058	116
168000	168	4.39291	27095.4	256.415	5907.95	4645.88	234.529	25949.3	8.74866	0.058	116
169000	169	4.4547	27483.3	223.189	5415.33	4567.92	249.205	25815.2	0	0.058	116
170000	170	4.43423	27357	1241.41	5355.73	4514.04	245.648	25378.6	1.12487	0.059	118
171000	171	4.44409	27417.8	562.654	5300.74	4375.02	236.574	25469.1	16.9153	0.0595	119
172000	172	4.42394	27306.7	1391.92	6255.16	4586.75	237.77	25480.6	14.7044	0.0605	121
173000	173	4.41252	27242.9	272.696	5494.06	4695.54	236.694	25527.3	20.0248	0.0605	121
174000	174	4.38377	27078.5	1723.53	5457.04	4655.39	244.137	25521.9	9.0438	0.062	124
175000	175	4.4158	27276.4	1348.05	5527.15	4279.49	284.193	25465	32.1194	0.063	126
176000	176	4.42448	27343.3	793.32	5367.03	4470.26	234.469	25848.5	20.5563	0.064	128
177000	177	4.38381	27105.1	1792.37	7054.1	4419.44	235.172	25564.1	21.4409	0.066	132
178000	178	4.45287	27545.5	312.566	5575.47	4453.78	253.35	25553.7	58.8032	0.066	132
179000	179	4.45219	27561.3	1359	5605.49	4447.47	231.957	25541.1	76.8071	0.067	134
180000	180	4.42208	27374.9	828.074	5962.78	4493.28	272.96	25836.3	226855	0.0675	135
181000	181	4.45822	27612	2172.54	5943.39	4740.92	303.2	26083.7	10.5903	0.07	140
182000	182	4.41052	27323.2	637.347	5645.24	4450.63	328.881	26035	69.5384	0.0705	141
183000	183	4.42926	27472.5	287.401	5557.79	4536.9	303.698	25582.1	20.6333	0.0705	141
184000	184	4.49129	27870.7	1830.42	5823.14	4482.78	308.774	25762.1	16.762	0.0725	145
