step	time	T	Ekin	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	count_0
127000	127	4.40279	26416.7	6260.07	4544.32	1048.83	2242.6	22252.1	417
128000	128	4.61084	27665.1	6526.64	4311.11	1143.06	2719.55	21762.5	421
129000	129	4.45108	26706.5	6164.15	4649.5	1070.67	3658.16	21802.7	427
130000	130	4.57009	27420.5	6377.57	4569.97	1155.9	1294.83	21843.8	429
131000	131	4.53361	27201.7	6456.65	4600.19	1116.75	1652.3	21729	431
132000	132	4.47052	26823.1	6580.46	4274.14	1159.08	2495.66	21750.5	434
133000	133	4.4619	26771.4	6248.16	4637.1	1198.35	2244.19	21716.8	437
134000	134	4.58603	27516.2	6228.08	4342.2	1117.85	1081.64	21632.7	437
135000	135	4.4781	26868.6	6443.39	4638.63	1171.45	2245.71	21930.3	439
136000	136	4.5775	27465	6790.7	4740.56	1150.34	2284.73	21839.4	441
137000	137	4.47744	26864.7	6452.16	4432.3	1181.37	3238.64	21771.7	445
138000	138	4.42666	26560	6459.15	4631.44	1229.32	2219.99	21686.5	449
139000	139	4.54202	27252.1	6351.99	4497.22	1199.76	2858.27	22144.9	453
140000	140	4.53649	27219	6442.54	5083.51	1149.35	2300.93	21289.6	455
141000	141	4.49235	26954.1	6427.03	4612.55	1190.37	2531.18	21903.8	458
142000	142	4.5842	27505.2	6306.47	4459.22	1155.73	1851.94	21826.1	460
143000	143	4.56506	27390.3	6304.03	4718.62	1269.81	1635.31	21885.1	461
144000	144	4.45962	26757.7	6465.92	4363.38	1190.77	1835.18	22301	464
145000	145	4.49663	26979.8	6793.18	4524.53	1183.91	1405.65	21567.8	465
146000	146	4.56873	27412.4	6369.62	4622.19	1310.96	1768.3	22183.3	467
147000	147	4.5798	27478.8	6404.07	4762.15	1168.95	3095.84	21711.3	472
148000	148	4.56163	27369.8	6507.23	4529.17	1242.75	1689.15	21781.3	473
149000	149	4.55263	27315.8	6441.42	4486.38	1219.68	1287.36	21625.4	474
150000	150	4.56451	27387	6354.03	4503.8	1211.21	1147.6	21543.8	474
151000	151	4.50698	27041.9	6340.1	4496.26	1246.86	1978.49	21235.4	476
152000	152	4.6097	27658.2	6496.4	4512.83	1357.12	1557.08	21785.8	478
153000	153	4.60006	27600.3	6698.14	4674.52	1321.1	1133.5	21524.6	478
154000	154	4.58675	27520.5	6092.23	4694.62	1380.16	2046.57	21242.4	480
155000	155	4.45783	26747	6349.09	4982.45	1328.59	3344.19	21810.1	484
156000	156	4.49042	26942.5	6736.76	4275.04	1249.91	2380	21792.4	487
157000	157	4.44856	26691.3	6368.55	4528.34	1440.77	2626	21424.3	490
158000	158	4.54593	27275.6	6557.28	4594.92	1418.96	2028.88	21639.4	492
159000	159	4.55908	27354.5	6623.05	4763.27	1414.27	3010.17	21596.4	495
160000	160	4.54096	27245.8	6348.15	4507.92	1416.06	3117.52	21637.9	499
161000	161	4.54401	27264.1	6718.24	4676.48	1349.57	2075.6	21508.7	501
162000	162	4.67983	28079	6344.48	4709.18	1319.32	2526.63	21449.2	503
163000	163	4.53428	27205.7	6592.88	4588.4	1456.02	2331.52	21609.5	505
164000	164	4.68384	28103	6563.19	4754.77	1580.93	1518.3	21660.9	506
165000	165	4.51348	27080.9	6805.77	4671.09	1339.57	2092.07	21139	508
166000	166	4.48818	26929.1	6293.54	4377.62	1481.21	2271.28	21074.4	511
167000	167	4.59902	27594.1	6541.73	4556.04	1470.91	2791.11	21304.5	516
168000	168	4.57243	27434.6	6506.2	4404.37	1349.27	2453.14	21249.3	519
169000	169	4.62083	27725	6524.03	4656.93	1367.26	1900.19	21268.1	521
170000	170	4.61429	27685.7	6642.38	4620.3	1463.33	1665.04	21248.9	522
171000	171	4.62205	27732.3	6668.29	4768.82	1480.89	2056.76	21989	524
172000	172	4.45487	26729.2	6771.47	4516.6	1344.6	2601.24	21679.1	527
173000	173	4.66536	27992.2	6432.54	4609.01	1511.44	1462.34	21270	528
174000	174	4.51333	27080	6308.22	4590.35	1433.72	1461.6	21461.5	529
175000	175	4.54668	27280.1	6711.85	4615.21	1629.61	1784.82	21264.9	530
176000	176	4.4955	26973	6570.48	4740.97	1561.45	1911.36	20930.6	533
177000	177	4.64635	27878.1	6541.78	4534.89	1545.89	2295.55	21749.9	535
178000	178	4.60703	27642.2	6855.48	4651.28	1531.56	1952.86	21498	537
179000	179	4.60747	27644.8	6674.92	4545.42	1533.49	2393.32	21171.3	539
180000	180	4.55894	27353.6	6620.23	4885.24	1578.07	1492.38	21401.9	539
181000	181	4.59629	27577.7	6603.65	4735.06	1562.38	2785.1	21108.8	543
182000	182	4.62135	27728.1	6842.98	4601.77	1689.05	1977.17	21351.7	544
183000	183	4.56564	27393.8	6547.34	4319.08	1513.29	2537.04	20957.7	547
184000	184	4.52122	27127.3	6587.26	4745.43	1679.12	1761.55	20956.9	549
185000	185	4.5601	27360.6	6688.13	4704.12	1562.98	2418.48	21465.9	551
186000	186	4.71041	28262.5	6568.4	4629.22	1530.63	1270.56	21248.7	551
187000	187	4.6197	27718.2	6620.77	4607.65	1495.82	3775.45	21295.8	556
188000	188	4.5602	27361.2	6745.84	4652.69	1582.27	2837.89	21281	560
189000	189	4.49942	26996.5	6797.32	4596.22	1630.21	2229.74	21256.2	562
190000	190	4.61422	27685.3	6741.13	4759.23	1687.04	1803.57	21063.4	563
191000	191	4.51306	27078.4	6815.37	4362.64	1524.52	2156.5	21409	565
192000	192	4.56539	27392.4	6804.03	4737.85	1604.2	2738.21	21471.2	568
193000	193	4.54261	27255.6	7187.81	4204.9	1609.12	2381.69	20988.7	571
194000	194	4.5966	27579.6	7043.92	4415.9	1664.96	2552.96	20847	574
195000	195	4.5955	27573	6679.71	4797.31	1589.09	2878.01	21313.9	579
196000	196	4.71375	28282.5	6940.79	4747.69	1739.82	3048.74	21090.1	582
197000	197	4.53861	27231.6	6488	4560.44	1755.49	2311.92	21221.3	584
198000	198	4.6501	27900.6	6532.49	4515.69	1785.98	2106.74	21005.1	586
199000	199	4.65763	27945.8	7194.66	4543.26	1747.46	2481.85	21048.9	588
200000	200	4.61483	27689	6742.28	4915.77	1697.21	1975.23	21330.2	589
201000	201	4.72873	28372.4	6908.24	4810.01	1809.21	2340.38	20964.2	591
202000	202	4.55628	27337.7	7163.27	4440.1	1758.62	2654.9	20735.7	595
203000	203	4.56456	27387.4	6666.65	4743.16	1686.46	3268.85	21113.7	599
204000	204	4.57373	27442.4	6376.23	4528.34	1717.17	3058.55	21068.7	602
205000	205	4.66296	27977.8	6964.5	4901.83	1793.85	1997.04	21431.7	603
206000	206	4.54906	27294.4	6848.35	4594.58	1715.25	2088.59	20931.8	604
207000	207	4.50267	27016	6889.93	4511.67	1797.97	3302.04	20878.9	607
208000	208	4.62168	27730.1	6672.58	4752.91	1835.71	3531.96	20543.1	611
209000	209	4.59852	27591.1	6715.73	4859.54	1762.81	2911.94	21046.1	614
210000	210	4.59697	27581.8	7010.47	4540.61	1834.55	3643.53	20656.7	618
211000	211	4.61291	27677.5	6901.18	4682.25	1708.1	2785.21	20799.8	620
