# t cr num_loops avg_loops
7.100000000000000000e+04 1.626000000000000000e+03 6.000000000000000000e+00 1.133333333333333393e+01
7.200000000000000000e+04 1.630000000000000000e+03 6.000000000000000000e+00 1.133333333333333393e+01
7.300000000000000000e+04 1.630000000000000000e+03 6.000000000000000000e+00 1.133333333333333393e+01
7.400000000000000000e+04 1.634000000000000000e+03 6.000000000000000000e+00 1.133333333333333393e+01
7.500000000000000000e+04 1.636000000000000000e+03 6.000000000000000000e+00 1.133333333333333393e+01
7.600000000000000000e+04 1.636000000000000000e+03 6.000000000000000000e+00 1.133333333333333393e+01
7.700000000000000000e+04 1.638000000000000000e+03 6.000000000000000000e+00 1.133333333333333393e+01
7.800000000000000000e+04 1.641000000000000000e+03 6.000000000000000000e+00 1.133333333333333393e+01
7.900000000000000000e+04 1.642000000000000000e+03 6.000000000000000000e+00 1.133333333333333393e+01
8.000000000000000000e+04 1.645000000000000000e+03 6.000000000000000000e+00 1.133333333333333393e+01
8.100000000000000000e+04 1.648000000000000000e+03 6.000000000000000000e+00 1.133333333333333393e+01
8.200000000000000000e+04 1.650000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
8.300000000000000000e+04 1.650000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
8.400000000000000000e+04 1.650000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
8.500000000000000000e+04 1.653000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
8.600000000000000000e+04 1.655000000000000000e+03 8.000000000000000000e+00 1.200000000000000000e+01
8.700000000000000000e+04 1.654000000000000000e+03 8.000000000000000000e+00 1.200000000000000000e+01
8.800000000000000000e+04 1.655000000000000000e+03 8.000000000000000000e+00 1.200000000000000000e+01
8.900000000000000000e+04 1.656000000000000000e+03 8.000000000000000000e+00 1.200000000000000000e+01
9.000000000000000000e+04 1.657000000000000000e+03 8.000000000000000000e+00 1.200000000000000000e+01
9.100000000000000000e+04 1.661000000000000000e+03 8.000000000000000000e+00 1.200000000000000000e+01
9.200000000000000000e+04 1.663000000000000000e+03 8.000000000000000000e+00 1.200000000000000000e+01
9.300000000000000000e+04 1.664000000000000000e+03 8.000000000000000000e+00 1.200000000000000000e+01
9.400000000000000000e+04 1.668000000000000000e+03 8.000000000000000000e+00 1.200000000000000000e+01
9.500000000000000000e+04 1.670000000000000000e+03 8.000000000000000000e+00 1.200000000000000000e+01
9.600000000000000000e+04 1.669000000000000000e+03 8.000000000000000000e+00 1.200000000000000000e+01
9.700000000000000000e+04 1.670000000000000000e+03 8.000000000000000000e+00 1.200000000000000000e+01
9.800000000000000000e+04 1.670000000000000000e+03 8.000000000000000000e+00 1.200000000000000000e+01
9.900000000000000000e+04 1.673000000000000000e+03 8.000000000000000000e+00 1.200000000000000000e+01
1.000000000000000000e+05 1.674000000000000000e+03 8.000000000000000000e+00 1.200000000000000000e+01
1.010000000000000000e+05 1.674000000000000000e+03 8.000000000000000000e+00 1.200000000000000000e+01
1.020000000000000000e+05 1.675000000000000000e+03 8.000000000000000000e+00 1.200000000000000000e+01
1.030000000000000000e+05 1.678000000000000000e+03 8.000000000000000000e+00 1.200000000000000000e+01
1.040000000000000000e+05 1.682000000000000000e+03 8.000000000000000000e+00 1.200000000000000000e+01
1.050000000000000000e+05 1.685000000000000000e+03 8.000000000000000000e+00 1.200000000000000000e+01
1.060000000000000000e+05 1.688000000000000000e+03 8.000000000000000000e+00 1.200000000000000000e+01
1.070000000000000000e+05 1.689000000000000000e+03 8.000000000000000000e+00 1.200000000000000000e+01
1.080000000000000000e+05 1.690000000000000000e+03 8.000000000000000000e+00 1.200000000000000000e+01
1.090000000000000000e+05 1.690000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.100000000000000000e+05 1.689000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.110000000000000000e+05 1.687000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.120000000000000000e+05 1.687000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
1.130000000000000000e+05 1.691000000000000000e+03 7.000000000000000000e+00 1.142857142857142883e+01
