step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	lj-tab_cap	tab-dynamic_0	cr_3	count_0	st_A_1	st_C_0	st_D_2	st_E_0	st_E_1	st_Z_0	st_W_0	st_W_1	st_DUMMY_7_0	st_DUMMY_7_1	st_DUMMY_7_2	st_DUMMY_8_0	st_DUMMY_8_1	st_DUMMY_8_2	fd_0	fd_1
10750	10.75	4.7446	32652.3	2022.85	8244.79	4757.7	3095.39	21501.6	5777.14	9004.34	0.4635	927	1073	927	242	302	456	257	588	0	858	0	0	297	0	0	858	297
11000	11	4.87035	31779	2128.22	468743	4889.51	1991.26	19318.1	7243.06	1833.38	0.3405	681	1319	681	353	182	465	257	350	0	1096	0	0	297	0	0	1096	297
11250	11.25	6.48423	44468.9	2999.23	11722	11168.8	2150.13	23077.2	8243.13	941.957	0.3405	681	1319	681	353	182	465	37	572	0	1094	0	0	297	0	0	1094	297
11500	11.5	4.76989	32855	1621.41	8554.3	5389.12	2147.92	21598.4	7574.73	123.732	0.3405	681	1319	681	353	182	465	19	592	0	1092	0	0	297	0	0	1092	297
11750	11.75	4.55246	31384.7	1762.23	7779.22	4888.4	2000.05	20329.6	7479.36	177.754	0.3405	681	1319	681	353	182	465	17	596	0	1090	0	0	297	0	0	1090	297
12000	12	4.77122	31697.6	1601.27	331821	4895.92	1328.82	18838.2	8548.09	390.905	0.2555	511	1489	511	446	112	442	16	429	0	1258	0	0	297	0	0	1258	297
12250	12.25	6.31985	42061.8	3095.71	9543.71	8125.77	1263.03	20587.8	9528.52	110.882	0.2555	511	1489	511	446	112	442	8	437	0	1258	0	0	297	0	0	1258	297
12500	12.5	4.69546	31264.7	1385.74	7845.13	4914.72	1300.25	19550.2	8737.69	156.191	0.2555	511	1489	511	446	112	442	8	439	0	1256	0	0	297	0	0	1256	297
12750	12.75	4.61251	30726.3	1302.76	7039.48	4701.6	1323.08	18876.3	8536.93	2306.56	0.2555	511	1489	511	446	112	442	7	441	0	1255	0	0	297	0	0	1255	297
13000	13	4.68626	30669.2	1040.64	184806	4820.18	1066.72	17938.3	9249.97	54.8319	0.2155	431	1569	431	496	83	421	5	363	0	1335	0	0	297	0	0	1335	297
13250	13.25	5.34603	35003.1	1721.28	9113.76	5383.11	1080.69	18901	9674.08	16.3452	0.2155	431	1569	431	496	83	421	3	365	0	1335	0	0	297	0	0	1335	297
13500	13.5	4.66357	30534.7	1106.43	7477.05	4538.97	979.162	18308.1	9349.56	46.6651	0.2155	431	1569	431	496	83	421	4	365	0	1335	0	0	296	0	0	1335	296
13750	13.75	4.62062	30267.4	987.615	6881.14	4523.33	1014.3	18195.5	9162.24	54.5096	0.2155	431	1569	431	496	83	421	2	367	0	1335	0	0	296	0	0	1335	296
14000	14	4.63812	30075.9	1028.98	56044.1	4501.59	897.763	17938	9467.61	7.73068	0.193	386	1614	386	527	69	404	2	323	0	1379	0	0	296	0	0	1379	296
14250	14.25	4.91531	31873.3	967.287	6911.12	4572.05	751.383	18068.6	9766.42	435.974	0.193	386	1614	386	527	69	404	4	323	0	1377	0	0	296	0	0	1377	296
14500	14.5	4.72742	30655	919.027	7247.21	4774.78	699.735	17961.1	9717.73	17.2936	0.193	386	1614	386	527	69	404	4	323	0	1377	0	0	296	0	0	1377	296
14750	14.75	4.57194	29653.6	977.444	6735.12	4847.45	764.182	17853.6	9563.93	39.1808	0.193	386	1614	386	527	69	404	5	324	0	1375	0	0	296	0	0	1375	296
15000	15	4.65463	29952.5	930.814	73705.2	4609.52	645.746	17554	9826.24	30.3985	0.176	352	1648	352	554	62	384	5	290	0	1409	0	0	296	0	0	1409	296
15250	15.25	4.88701	31455.2	1096	7637.86	5152.61	691.612	18004.2	9788.4	37.5218	0.176	352	1648	352	554	62	384	5	291	0	1409	0	0	295	0	0	1409	295
15500	15.5	4.74769	30572.8	821.851	7076.24	4995.98	635.177	17826.8	9589.11	22.5053	0.176	352	1648	352	554	62	384	3	293	0	1409	0	0	295	0	0	1409	295
