step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0	res_fpl_0
138000	138	4.36511	26190.7	0	5249.04	4549.69	0	25601.9	0	0	0	-nan
139000	139	4.49163	26949.8	0	5172.68	4396.09	0	25993.7	0	0	0	-nan
140000	140	4.4515	26709	0	5003.87	4193.02	0	25976.6	0	0	0	-nan
141000	141	4.4973	26983.8	0	4997.27	4126.98	0	25535.5	0	0	0	-nan
142000	142	4.43408	26604.5	0	5176.04	4194.65	0	25758	0	0	0	-nan
143000	143	4.43886	26633.1	0	5488.23	4424.99	0	25863.5	0	0	0	-nan
144000	144	4.42063	26523.8	0	5072.34	4255.01	0	25431.1	0	0	0	-nan
145000	145	4.44157	26649.4	0	5114.1	4521.13	0	25949.6	0	0	0	-nan
146000	146	4.40034	26402	0	5150.77	4604.63	0	25295.1	0	0	0	-nan
147000	147	4.39765	26385.9	0	5049.5	4242.9	0	25614.1	0	0	0	-nan
148000	148	4.48262	26895.7	0	5265.94	4400.84	0	25567.7	0	0	0	-nan
149000	149	4.49038	26942.3	0	5103.47	4516.6	0	25732.3	0	0	0	-nan
150000	150	4.44514	26670.8	0	5176.19	4172.85	0	25835.2	0	0	0	-nan
151000	151	4.35877	26152.6	0	5036.04	4479.49	0	25635.3	0	0	0	-nan
152000	152	4.42313	26538.8	0	5459.22	4347.85	0	25306.2	0	0	0	-nan
153000	153	4.50523	27031.4	0	5166.14	4390.51	0	25548.8	0	0	0	-nan
154000	154	4.52984	27179	0	5187.29	4504.56	0	25460.6	0	0	0	-nan
155000	155	4.4817	26890.2	0	5229.02	4317.8	0	25758.4	0	0	0	-nan
156000	156	4.39865	26391.9	0	5181.79	4591.24	0	25675.1	0	0	0	-nan
157000	157	4.45293	26717.6	0	5105.91	4360.83	0	25826.8	0	0	0	-nan
158000	158	4.40799	26448	0	5244.45	4391.78	0	25722.7	0	0	0	-nan
159000	159	4.44579	26674.8	0	5125.58	4290.04	0	25787.9	0	0	0	-nan
160000	160	4.32645	25958.7	0	5276.91	4354.18	0	25755.6	0	0	0	-nan
