step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	tab-scaled_0	cr_3	count_0	res_fpl_0
141000	141	4.52516	38153.9	3610.89	169139	4599.77	5667.3	21080.6	89.4522	6130.32	0.824	1648	0.993325
142000	142	4.5137	38064	3914.48	132365	4758.43	5716.14	21242.6	113.3	6045.46	0.8235	1647	0.995143
143000	143	4.59545	38774.1	3750.99	143664	4658.24	5845.01	21146.2	582.269	6111.03	0.826	1652	0.991525
144000	144	4.52896	38206.3	3408.3	146965	4713.7	5740.55	21044.7	136.821	5938.26	0.8235	1647	0.99575
145000	145	4.52292	38141.8	3746.61	54424.3	4388.12	5636.48	20976.6	2624.77	5963.9	0.82	1640	0.995732
146000	146	4.45554	37553.6	3377.53	114046	4918.22	5704.94	21353.1	378.117	6248.68	0.821	1642	0.992083
147000	147	4.42145	37239.7	3465.14	59727.4	4465.75	5725.56	21162.5	105.307	6348.76	0.8205	1641	0.993906
148000	148	4.45894	37582.2	3667.99	114407	4769.86	5679.29	21030.1	7602.52	6215.35	0.821	1642	0.99391
149000	149	4.47644	37696.1	3777.4	114226	4694.58	5827.42	20917.2	220.138	6145.74	0.8205	1641	0.992078
150000	150	4.50707	37967.6	3649.64	125310	4567.35	5809.25	21143.6	161.82	6291	0.8215	1643	0.995131
151000	151	4.51437	38035.8	3583.39	133743	4674.84	5823.01	21241.4	220.076	6492.86	0.8195	1639	0.993899
152000	152	4.43316	37311.7	3862.12	101670	4625.69	5668.3	21285.7	66.8564	6077.29	0.8185	1637	0.993891
153000	153	4.43921	37369.3	3895	162379	4535.45	5765.04	21009.2	559.477	6088.99	0.8185	1637	0.99328
154000	154	4.39152	36961.3	3672.12	172550	4851.43	5695.78	21450.6	1030.75	6330.32	0.821	1642	0.992083
155000	155	4.50344	37957.2	3755.6	122695	4997.99	5892.75	21295.1	83.7718	6044.37	0.825	1650	0.991515
156000	156	4.47748	37718.3	3759.07	141885	4426.87	5904.31	20930.6	106.534	6020.43	0.825	1650	0.991515
157000	157	4.46095	37585.7	3751.36	94369	4775.02	5816.2	20982.2	98.6032	6121.8	0.8225	1645	0.993921
158000	158	4.44067	37421.6	3743.85	115878	4557.37	5755.02	21231.5	308.416	6100.8	0.8195	1639	0.995119
