# cr num_clusters num_clusters2 size_max_cluster pn mw mn pdi
5.020000000000000000e+02 1.498000000000000000e+03 3.580000000000000000e+02 7.000000000000000000e+00 1.335113484646194948e+00 1.694999999999945439e+00 1.335113484646194948e+00 1.269554999999959133e+00
5.110000000000000000e+02 1.489000000000000000e+03 3.630000000000000000e+02 7.000000000000000000e+00 1.343183344526527767e+00 1.708999999999946118e+00 1.343183344526527767e+00 1.272350499999959972e+00
5.220000000000000000e+02 1.478000000000000000e+03 3.660000000000000000e+02 7.000000000000000000e+00 1.353179972936400466e+00 1.729999999999946469e+00 1.353179972936400466e+00 1.278469999999960471e+00
5.320000000000000000e+02 1.468000000000000000e+03 3.740000000000000000e+02 5.000000000000000000e+00 1.362397820163487649e+00 1.735999999999947141e+00 1.362397820163487649e+00 1.274223999999961388e+00
5.430000000000000000e+02 1.457000000000000000e+03 3.800000000000000000e+02 5.000000000000000000e+00 1.372683596431022668e+00 1.753999999999947823e+00 1.372683596431022668e+00 1.277788999999961872e+00
5.510000000000000000e+02 1.449000000000000000e+03 3.810000000000000000e+02 5.000000000000000000e+00 1.380262249827467258e+00 1.770999999999948393e+00 1.380262249827467258e+00 1.283089499999962468e+00
5.690000000000000000e+02 1.431000000000000000e+03 3.820000000000000000e+02 8.000000000000000000e+00 1.397624039133473106e+00 1.828999999999948889e+00 1.397624039133473106e+00 1.308649499999963384e+00
5.840000000000000000e+02 1.416000000000000000e+03 3.890000000000000000e+02 8.000000000000000000e+00 1.412429378531073532e+00 1.852999999999949576e+00 1.412429378531073532e+00 1.311923999999964119e+00
5.930000000000000000e+02 1.407000000000000000e+03 3.930000000000000000e+02 9.000000000000000000e+00 1.421464108031272211e+00 1.884999999999949827e+00 1.421464108031272211e+00 1.326097499999964624e+00
6.080000000000000000e+02 1.392000000000000000e+03 4.040000000000000000e+02 9.000000000000000000e+00 1.436781609195402210e+00 1.906999999999950957e+00 1.436781609195402210e+00 1.327271999999966035e+00
6.180000000000000000e+02 1.382000000000000000e+03 4.040000000000000000e+02 9.000000000000000000e+00 1.447178002894355942e+00 1.929999999999950644e+00 1.447178002894355942e+00 1.333629999999965898e+00
