# cr len_gsub pn pdi
1.494000000000000000e+03 5.080000000000000000e+02 3.937007874015748143e+00 2.198370000000021030e+00
1.501000000000000000e+03 5.010000000000000000e+02 3.992015968063872045e+00 2.214169500000021440e+00
1.506000000000000000e+03 4.960000000000000000e+02 4.032258064516129004e+00 2.204720000000021329e+00
1.514000000000000000e+03 4.880000000000000000e+02 4.098360655737704583e+00 2.192096000000021583e+00
1.518000000000000000e+03 4.840000000000000000e+02 4.132231404958677246e+00 2.179694000000021337e+00
1.524000000000000000e+03 4.780000000000000000e+02 4.184100418410041655e+00 2.188762000000021413e+00
1.530000000000000000e+03 4.720000000000000000e+02 4.237288135593220595e+00 2.196924000000019639e+00
1.534000000000000000e+03 4.680000000000000000e+02 4.273504273504273421e+00 2.191878000000020421e+00
1.539000000000000000e+03 4.630000000000000000e+02 4.319654427645787997e+00 2.189758500000020813e+00
1.548000000000000000e+03 4.540000000000000000e+02 4.405286343612334399e+00 2.177157000000019771e+00
1.555000000000000000e+03 4.470000000000000000e+02 4.474272930648769631e+00 2.181360000000018839e+00
1.559000000000000000e+03 4.430000000000000000e+02 4.514672686230248644e+00 2.185319000000018441e+00
1.563000000000000000e+03 4.390000000000000000e+02 4.555808656036446358e+00 2.178537500000018223e+00
1.566000000000000000e+03 4.360000000000000000e+02 4.587155963302752326e+00 2.195478000000018248e+00
1.567000000000000000e+03 4.350000000000000000e+02 4.597701149425287070e+00 2.195010000000018557e+00
1.568000000000000000e+03 4.340000000000000000e+02 4.608294930875575623e+00 2.190181000000018141e+00
1.575000000000000000e+03 4.270000000000000000e+02 4.683840749414519777e+00 2.209298000000017748e+00
1.581000000000000000e+03 4.210000000000000000e+02 4.750593824228028339e+00 2.240983000000017267e+00
1.585000000000000000e+03 4.170000000000000000e+02 4.796163069544364888e+00 2.226780000000016191e+00
1.586000000000000000e+03 4.160000000000000000e+02 4.807692307692307487e+00 2.223936000000016122e+00
1.588000000000000000e+03 4.140000000000000000e+02 4.830917874396135403e+00 2.228976000000016278e+00
1.593000000000000000e+03 4.090000000000000000e+02 4.889975550122249714e+00 2.235185000000015076e+00
1.597000000000000000e+03 4.050000000000000000e+02 4.938271604938271331e+00 2.227297500000015251e+00
