step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0
135000	135	4.44479	30635.7	3556.87	6871.69	4587.6	1910.05	25232.4	55.1033	0.303	606
136000	136	4.46631	30804.2	2378.36	6871.03	4368.18	1817.61	25436.7	59.0196	0.3045	609
137000	137	4.55913	31499	3665.88	6969.12	4441.33	1900.92	25618	58.5154	0.307	614
138000	138	4.41234	30504.7	5128.06	7650.96	4596.31	1923.1	26050.1	55.0969	0.311	622
139000	139	4.48877	31066.8	3587.14	6864.94	4369.29	1999.22	25590.3	85.9147	0.313	626
140000	140	4.41539	30611.9	3121.93	6833.89	4622.05	1954.42	24929	115.147	0.3155	631
141000	141	4.43203	30747.2	4241.29	7130.96	4659.84	2147.52	25470.8	88.356	0.3185	637
142000	142	4.56427	31692	3738.33	6792.51	4626.66	2053.84	25536.8	277.919	0.3215	643
143000	143	4.45734	31003.1	2591.15	7152.62	4507.99	2022.51	25078	49.3383	0.3235	647
144000	144	4.39575	30607.6	1819.05	6794.7	4704.54	2102.02	25514.8	25.5939	0.324	648
145000	145	4.48803	31277.1	5688.96	7095.52	4707	2059.58	25296	63.4035	0.3295	659
146000	146	4.53841	31635	4054.38	6885.71	4451.03	2063.29	25167.3	183.348	0.3325	665
147000	147	4.52564	31600.3	3633.26	6926.76	4575.28	2029.27	25084.8	48.8805	0.335	670
148000	148	4.4785	31324.8	3270.54	6812.89	4593.42	1989.27	25505.9	6695.05	0.337	674
149000	149	4.57327	32015.1	4284.9	7075.17	4537.66	2134.46	25426.4	87.4707	0.3405	681
150000	150	4.48425	31439.1	4426.34	7922.89	4566.61	2152.73	25659.1	23.5434	0.344	688
151000	151	4.6022	32307.4	3238.02	7313.27	4657.45	2137.92	25635.6	49.0254	0.346	692
152000	152	4.45342	31309.8	2846.94	7411.38	4631.7	2092.69	25484	60.218	0.3475	695
153000	153	4.52182	31817.8	4417.49	8627.73	4564.7	2149.34	25319.8	23.9767	0.351	702
154000	154	4.50061	31682	3770.8	6834.38	4755.88	2153.26	25612.2	64.0234	0.353	706
155000	155	4.43363	31243.8	3791.8	7710.53	4669.01	2161.11	25126.5	40.8812	0.356	712
156000	156	4.52256	31924.8	3586.09	7182.3	4377.53	2149.2	25191.6	51.9825	0.358	716
157000	157	4.51568	31896.5	5750.36	7130.42	4588.76	2168.28	24801.8	77.6041	0.362	724
158000	158	4.41675	31244.1	2268.28	6695.97	4673.68	2170.74	25534.3	38.5889	0.3625	725
159000	159	4.55544	32266.2	4184.4	9071.29	4739.54	2259.08	25413.8	236.81	0.365	730
160000	160	4.48253	31763.2	5693.45	10205.9	4387.29	2224.52	25255	224.798	0.37	740
161000	161	4.67431	33164.3	2947.06	7315.95	4476.56	2331.54	25436.6	106.343	0.372	744
162000	162	4.50532	32032.8	2683.22	6974.57	4630.21	2281.63	25317.7	13.9438	0.373	746
163000	163	4.42409	31481.9	4952.17	7232.34	4525.28	2294.41	24878.3	83.5622	0.3765	753
164000	164	4.45224	31695.5	4647.59	7257.46	4656.67	2301.92	25211.6	43.0002	0.3805	761
165000	165	4.57736	32627.4	4460.88	10051.2	4591.58	2292.7	25590.3	115.804	0.383	766
166000	166	4.55433	32524.8	3025.88	7426.01	4649.15	2296.35	25526.5	77.3363	0.3845	769
167000	167	4.515	32277.7	3715.51	7896.27	4418.86	2413.33	25570.2	40.1984	0.3875	775
168000	168	4.57665	32739.1	2916.92	7106.75	4740.15	2388.96	25520.6	206.972	0.3885	777
169000	169	4.46723	31996.5	2555.76	7048.94	4560.27	2325.72	25257.6	30.6856	0.3895	779
170000	170	4.50573	32285.8	4058.01	7421.2	4576.64	2384.91	25801.5	11.2537	0.393	786
171000	171	4.48822	32173.8	3643.27	8524.2	4390.43	2395.19	25454.5	587.596	0.395	790
172000	172	4.43735	31842.4	5133.9	7532.21	4703.53	2506.86	25069.5	220.571	0.399	798
173000	173	4.48748	32229.1	2896.36	8843.09	4739.52	2392.06	26052.1	263.14	0.4005	801
