# cr num_clusters num_clusters2 size_max_cluster pn mw mn pdi
4.610000000000000000e+02 1.539000000000000000e+03 3.480000000000000000e+02 6.000000000000000000e+00 1.299545159194281929e+00 1.614999999999943592e+00 1.299545159194281929e+00 1.242742499999956562e+00
4.680000000000000000e+02 1.532000000000000000e+03 3.510000000000000000e+02 6.000000000000000000e+00 1.305483028720626715e+00 1.626999999999944269e+00 1.305483028720626715e+00 1.246281999999957257e+00
4.780000000000000000e+02 1.522000000000000000e+03 3.520000000000000000e+02 6.000000000000000000e+00 1.314060446780551894e+00 1.647999999999944176e+00 1.314060446780551894e+00 1.254127999999957499e+00
4.810000000000000000e+02 1.519000000000000000e+03 3.520000000000000000e+02 6.000000000000000000e+00 1.316655694535878940e+00 1.653999999999944182e+00 1.316655694535878940e+00 1.256212999999957614e+00
4.960000000000000000e+02 1.504000000000000000e+03 3.600000000000000000e+02 6.000000000000000000e+00 1.329787234042553168e+00 1.677999999999944869e+00 1.329787234042553168e+00 1.261855999999958566e+00
5.080000000000000000e+02 1.492000000000000000e+03 3.670000000000000000e+02 6.000000000000000000e+00 1.340482573726541560e+00 1.697999999999945775e+00 1.340482573726541560e+00 1.266707999999959533e+00
5.160000000000000000e+02 1.484000000000000000e+03 3.680000000000000000e+02 6.000000000000000000e+00 1.347708894878706154e+00 1.716999999999946125e+00 1.347708894878706154e+00 1.274013999999960012e+00
5.250000000000000000e+02 1.475000000000000000e+03 3.660000000000000000e+02 7.000000000000000000e+00 1.355932203389830448e+00 1.749999999999945599e+00 1.355932203389830448e+00 1.290624999999959943e+00
5.340000000000000000e+02 1.466000000000000000e+03 3.680000000000000000e+02 7.000000000000000000e+00 1.364256480218281053e+00 1.765999999999945835e+00 1.364256480218281053e+00 1.294477999999960272e+00
5.450000000000000000e+02 1.455000000000000000e+03 3.730000000000000000e+02 7.000000000000000000e+00 1.374570446735395191e+00 1.785999999999946297e+00 1.374570446735395191e+00 1.299314999999960918e+00
5.620000000000000000e+02 1.438000000000000000e+03 3.730000000000000000e+02 7.000000000000000000e+00 1.390820584144645267e+00 1.835999999999946342e+00 1.390820584144645267e+00 1.320083999999961399e+00
