step	time	T	Ekin	P	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	count_0
175000	175	4.38858	26331.5	251.594	5025.59	4471.91	0	0	25327.1	0
176000	176	4.51107	27066.4	240.062	5065.23	4536.2	0	0	25205.4	0
177000	177	4.46636	26798.2	256.003	5102.7	4715.91	0	0	25489.7	0
178000	178	4.51185	27071.1	248.845	5428.1	4545.88	0	0	26037.5	0
179000	179	4.47839	26870.3	240.73	5085.85	4315.52	0	0	25342.1	0
180000	180	4.37669	26260.2	245.637	5268.34	4323.18	0	0	25209.1	0
181000	181	4.45201	26712	244.931	5160.41	4430.05	0	0	25290.8	0
182000	182	4.5245	27147	246.878	5203.6	4541.17	0	0	25308.5	0
183000	183	4.4384	26630.4	248.754	5029.44	4344.75	0	0	25534.2	0
184000	184	4.44599	26675.9	250.481	5224.38	4548.65	0	0	25354.1	0
185000	185	4.34435	26066.1	250.969	4954.3	4443.82	0	0	25907.5	0
186000	186	4.44783	26687	248.306	4974.49	4302.65	0	0	25770.6	0
187000	187	4.40074	26404.5	245.123	5219.81	4273.81	0	0	25457.6	0
188000	188	4.51782	27106.9	253.441	5057.46	4385.52	0	0	25758.2	0
189000	189	4.4079	26447.4	266.85	5317.24	4472.73	0	0	25455.7	0
190000	190	4.47054	26823.3	253.36	5590.25	4498.75	0	0	25894.3	0
191000	191	4.39208	26352.5	244.402	5254.29	4524.62	0	0	25667	0
192000	192	4.48181	26890.8	254.371	5204.43	4228.51	0	0	25522.6	0
193000	193	4.41881	26512.8	252.613	5276.27	4614.76	0	0	25617.9	0
194000	194	4.41256	26475.3	245.484	5128.32	4430.78	0	0	25427.6	0
195000	195	4.44089	26645.3	253.35	5711.55	4213.94	0	0	25144.3	0
196000	196	4.49133	26948	252.673	5230.68	4402.07	0	0	25530.3	0
197000	197	4.4287	26572.2	243.052	5396.25	4551.18	0	0	25637.1	0
198000	198	4.48483	26909	231.333	4801.06	4423.73	0	0	25262.7	0
199000	199	4.47924	26875.4	241.712	5226.76	4198.77	0	0	25269	0
200000	200	4.48658	26919.5	251.11	5252.4	4344.42	0	0	25780.4	0
201000	201	4.49344	26960.6	250.389	5397.54	4308.46	0	0	25969.1	0
202000	202	4.41503	26490.2	249.236	4934.18	4432.43	0	0	26196	0
203000	203	4.39635	26378.1	248.438	5066.86	4447.05	0	0	25463.9	0
204000	204	4.46506	26790.4	259.35	4943.1	4501.05	0	0	25496	0
205000	205	4.41274	26476.4	241.064	5566.49	4399.42	0	0	25514.4	0
206000	206	4.50816	27049	242.21	5200.99	4324	0	0	25190.7	0
207000	207	4.46531	26791.9	253.84	5178.24	4420.85	0	0	25824.4	0
208000	208	4.49	26940	253.617	5151.87	4550.72	0	0	25503.5	0
209000	209	4.39517	26371	240.257	4909.94	4265.17	0	0	25775.8	0
210000	210	4.47974	26878.4	234.159	5272.62	4289.2	0	0	25484.2	0
211000	211	4.41952	26517.1	254.892	4872.88	4439.57	0	0	25696.9	0
