# cr len_gsub, pn, pdi
7.000000000000000000e+01 1.930000000000000000e+03 1.036269430051813378e+00 1.039304999999941748e+00
7.100000000000000000e+01 1.929000000000000000e+03 1.036806635562467660e+00 1.039730999999941785e+00
7.400000000000000000e+01 1.926000000000000000e+03 1.038421599169262688e+00 1.041965999999941550e+00
7.800000000000000000e+01 1.922000000000000000e+03 1.040582726326742868e+00 1.044606999999941443e+00
8.000000000000000000e+01 1.920000000000000000e+03 1.041666666666666741e+00 1.045439999999941305e+00
8.100000000000000000e+01 1.919000000000000000e+03 1.042209484106305428e+00 1.045854999999941137e+00
8.400000000000000000e+01 1.916000000000000000e+03 1.043841336116910323e+00 1.047093999999941349e+00
9.100000000000000000e+01 1.909000000000000000e+03 1.047668936616029445e+00 1.050904499999941955e+00
9.400000000000000000e+01 1.906000000000000000e+03 1.049317943336831149e+00 1.052111999999941760e+00
9.700000000000000000e+01 1.903000000000000000e+03 1.050972149238045272e+00 1.054261999999942079e+00
9.800000000000000000e+01 1.902000000000000000e+03 1.051524710830704423e+00 1.054658999999942282e+00
9.900000000000000000e+01 1.901000000000000000e+03 1.052077853761178350e+00 1.055054999999942345e+00
1.030000000000000000e+02 1.897000000000000000e+03 1.054296257248286794e+00 1.059474499999942365e+00
1.050000000000000000e+02 1.895000000000000000e+03 1.055408970976253302e+00 1.060252499999942311e+00
1.070000000000000000e+02 1.893000000000000000e+03 1.056524035921817317e+00 1.061026499999942141e+00
1.100000000000000000e+02 1.890000000000000000e+03 1.058201058201058142e+00 1.062179999999942392e+00
1.110000000000000000e+02 1.889000000000000000e+03 1.058761249338274313e+00 1.062562499999942123e+00
1.130000000000000000e+02 1.887000000000000000e+03 1.059883412824589310e+00 1.063324499999942496e+00
1.140000000000000000e+02 1.886000000000000000e+03 1.060445387062566303e+00 1.063703999999942473e+00
1.160000000000000000e+02 1.884000000000000000e+03 1.061571125265392768e+00 1.064459999999942674e+00
1.180000000000000000e+02 1.882000000000000000e+03 1.062699256110520629e+00 1.065211999999942760e+00
1.200000000000000000e+02 1.880000000000000000e+03 1.063829787234042534e+00 1.065959999999942509e+00
1.220000000000000000e+02 1.878000000000000000e+03 1.064962726304579332e+00 1.068581999999942633e+00
1.240000000000000000e+02 1.876000000000000000e+03 1.066098081023454158e+00 1.069319999999942761e+00
1.280000000000000000e+02 1.872000000000000000e+03 1.068376068376068355e+00 1.070783999999942893e+00
1.320000000000000000e+02 1.868000000000000000e+03 1.070663811563169254e+00 1.075967999999942748e+00
1.350000000000000000e+02 1.865000000000000000e+03 1.072386058981233292e+00 1.077037499999942805e+00
1.390000000000000000e+02 1.861000000000000000e+03 1.074691026329930077e+00 1.082171499999942554e+00
1.410000000000000000e+02 1.859000000000000000e+03 1.075847229693383644e+00 1.082867499999942584e+00
1.450000000000000000e+02 1.855000000000000000e+03 1.078167115902964879e+00 1.085174999999942713e+00
1.480000000000000000e+02 1.852000000000000000e+03 1.079913606911446999e+00 1.086197999999942931e+00
1.490000000000000000e+02 1.851000000000000000e+03 1.080497028633171208e+00 1.086536999999943021e+00
1.500000000000000000e+02 1.850000000000000000e+03 1.081081081081081141e+00 1.086874999999943192e+00
1.510000000000000000e+02 1.849000000000000000e+03 1.081665765278528868e+00 1.087211999999943224e+00
1.530000000000000000e+02 1.847000000000000000e+03 1.082837033026529561e+00 1.087882999999943312e+00
1.540000000000000000e+02 1.846000000000000000e+03 1.083423618634886232e+00 1.088216999999943591e+00
1.550000000000000000e+02 1.845000000000000000e+03 1.084010840108400986e+00 1.088549999999943729e+00
1.570000000000000000e+02 1.843000000000000000e+03 1.085187194791101373e+00 1.089212999999943809e+00
1.600000000000000000e+02 1.840000000000000000e+03 1.086956521739130377e+00 1.090199999999944103e+00
1.640000000000000000e+02 1.836000000000000000e+03 1.089324618736383421e+00 1.091501999999944239e+00
1.650000000000000000e+02 1.835000000000000000e+03 1.089918256130790297e+00 1.090907499999944630e+00
1.680000000000000000e+02 1.832000000000000000e+03 1.091703056768559055e+00 1.092787999999944581e+00
1.700000000000000000e+02 1.830000000000000000e+03 1.092896174863388081e+00 1.097999999999944132e+00
1.720000000000000000e+02 1.828000000000000000e+03 1.094091903719912384e+00 1.099541999999944286e+00
1.730000000000000000e+02 1.827000000000000000e+03 1.094690749863163726e+00 1.099853999999944154e+00
1.750000000000000000e+02 1.825000000000000000e+03 1.095890410958904049e+00 1.101387499999944009e+00
1.770000000000000000e+02 1.823000000000000000e+03 1.097092704333516133e+00 1.102003499999943958e+00
1.830000000000000000e+02 1.817000000000000000e+03 1.100715465052283903e+00 1.111095499999943836e+00
