# cr len_gsub pn mw mn pdi
3.040000000000000000e+02 1.696000000000000000e+03 1.179245283018867996e+00 1.371999999999937270e+00 1.179245283018867996e+00 1.163455999999946755e+00
3.180000000000000000e+02 1.682000000000000000e+03 1.189060642092746756e+00 1.403999999999937742e+00 1.189060642092746756e+00 1.180763999999947522e+00
3.320000000000000000e+02 1.668000000000000000e+03 1.199040767386091222e+00 1.428999999999938320e+00 1.199040767386091222e+00 1.191785999999948498e+00
3.450000000000000000e+02 1.655000000000000000e+03 1.208459214501510504e+00 1.448999999999938559e+00 1.208459214501510504e+00 1.199047499999949196e+00
3.560000000000000000e+02 1.644000000000000000e+03 1.216545012165450190e+00 1.466999999999938797e+00 1.216545012165450190e+00 1.205873999999949708e+00
3.720000000000000000e+02 1.628000000000000000e+03 1.228501228501228448e+00 1.488999999999939483e+00 1.228501228501228448e+00 1.212045999999950885e+00
3.850000000000000000e+02 1.615000000000000000e+03 1.238390092879257054e+00 1.513999999999940060e+00 1.238390092879257054e+00 1.222554999999951431e+00
3.970000000000000000e+02 1.603000000000000000e+03 1.247660636306924475e+00 1.536999999999939748e+00 1.247660636306924475e+00 1.231905499999951692e+00
4.040000000000000000e+02 1.596000000000000000e+03 1.253132832080200432e+00 1.546999999999940201e+00 1.253132832080200432e+00 1.234505999999952364e+00
4.200000000000000000e+02 1.580000000000000000e+03 1.265822784810126667e+00 1.575999999999940782e+00 1.265822784810126667e+00 1.245039999999953073e+00
4.290000000000000000e+02 1.571000000000000000e+03 1.273074474856779048e+00 1.594999999999940687e+00 1.273074474856779048e+00 1.252872499999953426e+00
4.400000000000000000e+02 1.560000000000000000e+03 1.282051282051282159e+00 1.610999999999940924e+00 1.282051282051282159e+00 1.256579999999953845e+00
4.480000000000000000e+02 1.552000000000000000e+03 1.288659793814433074e+00 1.631999999999941053e+00 1.288659793814433074e+00 1.266431999999954261e+00
4.620000000000000000e+02 1.538000000000000000e+03 1.300390117035110427e+00 1.651999999999941293e+00 1.300390117035110427e+00 1.270387999999954998e+00
4.710000000000000000e+02 1.529000000000000000e+03 1.308044473512099515e+00 1.668999999999941863e+00 1.308044473512099515e+00 1.275950499999955357e+00
4.830000000000000000e+02 1.517000000000000000e+03 1.318391562294001229e+00 1.689999999999941771e+00 1.318391562294001229e+00 1.281864999999955845e+00
4.910000000000000000e+02 1.509000000000000000e+03 1.325381047051027217e+00 1.705999999999942229e+00 1.325381047051027217e+00 1.287176999999956273e+00
5.020000000000000000e+02 1.498000000000000000e+03 1.335113484646194948e+00 1.720999999999943242e+00 1.335113484646194948e+00 1.289028999999957570e+00
5.090000000000000000e+02 1.491000000000000000e+03 1.341381623071763896e+00 1.735999999999943366e+00 1.341381623071763896e+00 1.294187999999957706e+00
5.190000000000000000e+02 1.481000000000000000e+03 1.350438892640108079e+00 1.751999999999944047e+00 1.350438892640108079e+00 1.297355999999958431e+00
5.310000000000000000e+02 1.469000000000000000e+03 1.361470388019060618e+00 1.781999999999944517e+00 1.361470388019060618e+00 1.308878999999959269e+00
5.370000000000000000e+02 1.463000000000000000e+03 1.367053998632945966e+00 1.790999999999944858e+00 1.367053998632945966e+00 1.310116499999959716e+00
5.460000000000000000e+02 1.454000000000000000e+03 1.375515818431912063e+00 1.830999999999944228e+00 1.375515818431912063e+00 1.331136999999959381e+00
5.590000000000000000e+02 1.441000000000000000e+03 1.387925052047189522e+00 1.860999999999944032e+00 1.387925052047189522e+00 1.340850499999959533e+00
5.730000000000000000e+02 1.427000000000000000e+03 1.401541695865452075e+00 1.884999999999944942e+00 1.401541695865452075e+00 1.344947499999960661e+00
5.820000000000000000e+02 1.418000000000000000e+03 1.410437235543018364e+00 1.899999999999945510e+00 1.410437235543018364e+00 1.347099999999961328e+00
