# mol_id D +/-
1.380000000000000000e+02 3.559999999999999970e-02 2.210000000000000159e-02
1.390000000000000000e+02 1.359999999999999924e-02 3.939999999999999752e-02
1.400000000000000000e+02 8.100999999999999179e-06 6.172999999999999885e-04
1.410000000000000000e+02 2.750000000000000014e-02 9.879999999999999893e-02
1.420000000000000000e+02 2.549000000000000155e-01 1.255999999999999894e-01
1.430000000000000000e+02 4.295999999999999797e-04 2.639000000000000178e-04
1.440000000000000000e+02 9.218000000000000499e-03 6.494999999999999385e-02
1.450000000000000000e+02 9.769999999999999518e-02 1.073999999999999955e-01
1.460000000000000000e+02 8.976999999999999737e-04 9.562999999999999886e-04
1.470000000000000000e+02 5.426000000000000267e-03 9.879000000000000628e-03
1.480000000000000000e+02 8.850999999999999493e-03 1.666000000000000120e-02
1.490000000000000000e+02 2.259999999999999856e-02 3.180000000000000188e-02
1.500000000000000000e+02 3.860000000000000236e-02 1.000000000000000021e-03
1.510000000000000000e+02 7.960000000000000409e-02 1.669999999999999957e-02
1.520000000000000000e+02 1.770000000000000046e-02 8.099999999999999561e-03
1.530000000000000000e+02 1.131999999999999977e-03 4.706000000000000114e-03
1.540000000000000000e+02 3.969999999999999918e-02 1.057000000000000023e-01
1.550000000000000000e+02 4.800000000000000100e-02 5.569999999999999951e-02
1.560000000000000000e+02 1.739999999999999880e-02 1.510000000000000057e-02
1.570000000000000000e+02 8.613000000000000864e-03 9.553999999999999992e-03
1.580000000000000000e+02 2.120000000000000009e-02 1.590000000000000094e-02
1.590000000000000000e+02 1.580000000000000154e-02 4.460000000000000075e-02
1.600000000000000000e+02 -1.806999999999999926e-02 2.953000000000000069e-01
1.610000000000000000e+02 2.419999999999999929e-02 6.799999999999999621e-03
1.620000000000000000e+02 6.156000000000000014e-03 1.310000000000000053e-02
1.630000000000000000e+02 2.822999999999999989e-03 3.835000000000000214e-02
1.640000000000000000e+02 4.669999999999999846e-02 4.300000000000000003e-03
1.650000000000000000e+02 1.089999999999999997e-02 9.799999999999999684e-03
1.660000000000000000e+02 8.160000000000000586e-02 1.010999999999999954e-01
1.670000000000000000e+02 4.460000000000000075e-02 3.760000000000000148e-02
1.680000000000000000e+02 -2.641000000000000118e-03 1.661999999999999936e-02
1.690000000000000000e+02 2.850000000000000103e-02 9.199999999999999845e-03
1.700000000000000000e+02 1.876000000000000063e-03 1.017999999999999981e-02
1.710000000000000000e+02 2.110000000000000070e-02 1.650000000000000078e-02
1.720000000000000000e+02 3.442000000000000181e-03 4.002000000000000349e-03
1.730000000000000000e+02 2.100000000000000130e-02 7.199999999999999803e-03
1.740000000000000000e+02 1.015000000000000069e-01 7.850000000000000033e-02
1.750000000000000000e+02 -9.315000000000000092e-05 1.487999999999999956e-03
1.760000000000000000e+02 6.500000000000000222e-02 1.269999999999999948e-02
1.770000000000000000e+02 -3.312999999999999973e-03 4.710999999999999910e-02
1.780000000000000000e+02 -1.129999999999999928e-02 7.091000000000000081e-02
1.790000000000000000e+02 1.429999999999999882e-01 1.632000000000000117e-01
1.800000000000000000e+02 8.385000000000000092e-03 8.398000000000000300e-04
1.810000000000000000e+02 -1.759000000000000147e-02 8.033999999999999475e-02
1.820000000000000000e+02 3.969999999999999918e-02 6.850000000000000533e-02
1.830000000000000000e+02 6.629999999999999782e-02 4.710000000000000298e-02
1.840000000000000000e+02 1.519999999999999997e-02 1.340000000000000045e-02
1.850000000000000000e+02 7.389999999999999347e-02 8.000000000000000383e-04
1.860000000000000000e+02 8.721000000000000019e-04 5.693999999999999756e-02
1.870000000000000000e+02 8.188000000000000833e-03 3.203000000000000291e-02
1.880000000000000000e+02 2.149999999999999828e-02 4.789999999999999813e-02
1.890000000000000000e+02 -7.702999999999999940e-05 4.970000000000000459e-04
1.900000000000000000e+02 1.540000000000000049e-02 2.100000000000000130e-02
1.910000000000000000e+02 -6.658000000000000290e-04 4.318999999999999923e-03
1.920000000000000000e+02 1.643000000000000016e-01 7.380000000000000449e-02
1.930000000000000000e+02 3.350999999999999812e-03 2.562000000000000041e-02
1.940000000000000000e+02 4.116999999999999783e-04 4.159999999999999636e-03
1.950000000000000000e+02 5.483999999999999942e-04 4.159000000000000370e-03
1.960000000000000000e+02 1.580999999999999905e-01 1.774999999999999911e-01
1.970000000000000000e+02 3.223999999999999869e-03 3.325999999999999963e-03
1.980000000000000000e+02 9.672999999999999307e-03 1.184999999999999942e-02
1.990000000000000000e+02 4.186999999999999750e-03 4.984999999999999848e-02
2.000000000000000000e+02 2.799999999999999972e-03 5.141999999999999869e-03
2.010000000000000000e+02 3.090000000000000038e-02 9.799999999999999684e-03
2.020000000000000000e+02 1.439999999999999961e-02 2.819999999999999937e-02
2.030000000000000000e+02 6.239999999999999714e-02 3.409999999999999837e-02
2.040000000000000000e+02 6.600000000000000311e-02 5.940000000000000141e-02
2.050000000000000000e+02 1.959999999999999937e-02 3.210000000000000075e-01
2.060000000000000000e+02 5.040000000000000209e-03 1.082999999999999935e-02
2.070000000000000000e+02 2.253000000000000003e-01 2.109999999999999931e-01
2.080000000000000000e+02 8.909999999999999865e-02 1.100000000000000006e-01
2.090000000000000000e+02 2.999999999999999889e-02 5.000000000000000104e-04
2.100000000000000000e+02 -7.327000000000000179e-03 8.662999999999999867e-02
2.110000000000000000e+02 5.088999999999999774e-03 5.779999999999999721e-02
2.120000000000000000e+02 1.260000000000000009e-02 3.070000000000000159e-02
2.130000000000000000e+02 1.333000000000000018e-01 8.980000000000000482e-02
2.140000000000000000e+02 1.250000000000000069e-02 2.000000000000000042e-02
2.150000000000000000e+02 6.683000000000000355e-04 3.526000000000000054e-03
2.160000000000000000e+02 1.650000000000000078e-01 1.605999999999999928e-01
2.170000000000000000e+02 -1.518000000000000035e-03 1.548000000000000070e-02
2.180000000000000000e+02 1.067000000000000050e-04 1.468999999999999928e-04
2.190000000000000000e+02 -7.953999999999999265e-03 5.158999999999999697e-02
2.200000000000000000e+02 2.230000000000000038e-02 5.569999999999999951e-02
