step	time	T	Ekin	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	tab-dynamic_0	cr_5	count_0	Fmax
117000	117	2.48232	14893.9	153.307	2415.74	0	0	-11627.4	0	0	0	7000
118000	118	2.44438	14666.3	158.39	2321.5	0	0	-11641.1	0	0	0	7000
119000	119	2.47288	14837.3	163.51	2386.96	0	0	-11727.3	0	0	0	7359.67
120000	120	2.48307	14898.4	183.222	2556.68	0	0	-11570	0	0	0	7000
121000	121	2.52961	15177.7	161.255	2369.71	0	0	-11686.6	0	0	0	7000
122000	122	2.48962	14937.7	206.112	2356.96	0	0	-11759.6	0	0	0	8029.07
123000	123	2.44419	14665.1	173.039	2349.46	0	0	-11694.6	0	0	0	7000
124000	124	2.50311	15018.6	158.348	2431.64	0	0	-11571.3	0	0	0	7000
125000	125	2.4694	14816.4	171.77	2431.11	0	0	-11423.9	0	0	0	7000
126000	126	2.50212	15012.7	169.466	2538.77	0	0	-11521.6	0	0	0	7000
127000	127	2.46164	14769.8	186.047	2394.65	0	0	-11415.4	0	0	0	8079.94
128000	128	2.47215	14832.9	172.849	2352.54	0	0	-11611.2	0	0	0	7471.33
129000	129	2.49943	14996.6	191.114	2520.97	0	0	-11799.7	0	0	0	7000
130000	130	2.50422	15025.3	210.852	2511.06	0	0	-11550.9	0	0	0	7000
131000	131	2.48584	14915.1	205.18	2374.65	0	0	-11570.4	0	0	0	7274.42
132000	132	2.49325	14959.5	158.314	2525.54	0	0	-11451.5	0	0	0	7324.04
133000	133	2.46775	14806.5	157.249	2403.14	0	0	-11303	0	0	0	7030.04
134000	134	2.49798	14987.9	139.269	2518.97	0	0	-11414.3	0	0	0	7070.2
135000	135	2.46357	14781.4	174.894	2408.81	0	0	-11422.2	0	0	0	7000
136000	136	2.46762	14805.7	159.617	2374.78	0	0	-11508.6	0	0	0	7000
137000	137	2.48058	14883.5	147.13	2429.47	0	0	-11563.6	0	0	0	7000
138000	138	2.46656	14799.4	197.093	2626.17	0	0	-11702.7	0	0	0	7000
139000	139	2.5038	15022.8	174.639	2439.84	0	0	-11365.4	0	0	0	7416.37
140000	140	2.495	14970	171.27	2507.14	0	0	-11633.3	0	0	0	7000
141000	141	2.45014	14700.9	195.003	2322.58	0	0	-11594.3	0	0	0	7000
142000	142	2.4772	14863.2	227.237	2437.51	0	0	-11693.7	0	0	0	7523.58
143000	143	2.51498	15089.9	169.838	2336.12	0	0	-11584	0	0	0	7000
144000	144	2.39584	14375.1	162.005	2585.66	0	0	-11428.2	0	0	0	7021.32
145000	145	2.43899	14633.9	208.476	2495.31	0	0	-11273.5	0	0	0	7350.26
146000	146	2.46499	14789.9	152.425	2359.69	0	0	-11439.8	0	0	0	7000
147000	147	2.41755	14505.3	197.243	2487.15	0	0	-11481.2	0	0	0	7000
148000	148	2.49263	14955.8	219.948	2432.48	0	0	-11389.1	0	0	0	8491.29
149000	149	2.4753	14851.8	173.649	2431.93	0	0	-11366.6	0	0	0	7000
150000	150	2.52294	15137.7	183.361	2397.03	0	0	-11262.3	0	0	0	7000
151000	151	2.47285	14837.1	170.585	2380.51	0	0	-11302.9	0	0	0	7000
152000	152	2.44182	14650.9	188.688	2463.57	0	0	-11644.6	0	0	0	7000
153000	153	2.51161	15069.7	182.351	2475.86	0	0	-11582.3	0	0	0	7000
154000	154	2.47271	14836.3	207.548	2342.36	0	0	-11610.4	0	0	0	7000
155000	155	2.50785	15047.1	155.549	2565.35	0	0	-11359.7	0	0	0	7070.32
156000	156	2.46517	14791	168.885	2448.2	0	0	-11547.4	0	0	0	7000
157000	157	2.51069	15064.1	144.715	2476.65	0	0	-11283.3	0	0	0	7055.8
158000	158	2.46388	14783.3	180.008	2462.77	0	0	-11380.7	0	0	0	7022.42
159000	159	2.40781	14446.8	166.448	2432.65	0	0	-11494.9	0	0	0	7000
160000	160	2.51308	15078.5	141.432	2299.34	0	0	-11752.2	0	0	0	7000
161000	161	2.4275	14565	190.637	2482.99	0	0	-11928	0	0	0	7458.29
