step	time	T	Ekin	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	tab-dynamic_0	count_0	Fmax
137000	137	2.49998	14999.9	214.392	2481.68	0	0	-11688.7	0	0	6099.96
138000	138	2.40131	14407.9	155.998	2404.87	0	0	-11337.6	0	0	6120.79
139000	139	2.46363	14781.8	139.731	2486.53	0	0	-11520.2	0	0	6941.7
140000	140	2.52509	15150.6	147.59	2541.59	0	0	-11420.6	0	0	7291.9
141000	141	2.4659	14795.4	188.024	2380.23	0	0	-11422.6	0	0	6804.7
142000	142	2.5017	15010.2	203.164	2509.56	0	0	-11120.7	0	0	6485.12
143000	143	2.49259	14955.5	202.952	2535.87	0	0	-11194.9	0	0	6774.45
144000	144	2.50425	15025.5	163.218	2389.76	0	0	-11463	0	0	6520.08
145000	145	2.48994	14939.7	166.825	2437.24	0	0	-11508.8	0	0	6878
146000	146	2.49542	14972.5	242.079	2445.78	0	0	-11316	0	0	6244
147000	147	2.42678	14560.7	187.794	2407.73	0	0	-11340	0	0	6574.95
148000	148	2.48827	14929.6	211.382	2435.09	0	0	-11307.6	0	0	6851.81
149000	149	2.48355	14901.3	150.443	2544.54	0	0	-11472.3	0	0	6902.47
150000	150	2.45712	14742.7	151.638	2363.1	0	0	-11320.4	0	0	6098.49
151000	151	2.4968	14980.8	176.886	2391.61	0	0	-11182	0	0	6638.35
152000	152	2.53338	15200.3	155.218	2321.37	0	0	-11369.9	0	0	6574
153000	153	2.51568	15094.1	179.861	2316.74	0	0	-11547.8	0	0	6276.73
154000	154	2.48121	14887.3	170.536	2465.21	0	0	-11631.8	0	0	6527.19
155000	155	2.51707	15102.4	151.263	2301.61	0	0	-11529	0	0	6018.68
156000	156	2.51693	15101.6	160.88	2435.73	0	0	-11604.2	0	0	6784.38
157000	157	2.48707	14922.4	129.261	2444.58	0	0	-11476.5	0	0	6756.76
158000	158	2.50258	15015.5	167.362	2632.63	0	0	-11915	0	0	6720.34
159000	159	2.45709	14742.5	169.387	2342.07	0	0	-11796.9	0	0	6505.27
