step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0	Fmax
94000	94	4.54255	27255.3	0	5514.12	4564	0	25846	0	0	0	7626.26
95000	95	4.46558	26793.5	0	5339.16	4397.16	0	25653.4	0	0	0	8061.09
96000	96	4.49555	26973.3	0	5201.54	4481.97	0	25981	0	0	0	7784.29
97000	97	4.56923	27415.4	0	5349.59	4393.56	0	25588.5	0	0	0	8224.67
98000	98	4.44688	26681.3	0	5335.28	4346.23	0	25921.3	0	0	0	8022.17
99000	99	4.35028	26101.7	0	5324.06	4419.37	0	25813.5	0	0	0	7340.04
100000	100	4.40464	26427.8	0	5080.62	4384.85	0	25837.1	0	0	0	7810.01
101000	101	4.35158	26109.5	0	5298.86	4592.49	0	25427.7	0	0	0	7598.58
102000	102	4.45457	26727.4	0	5444.9	4383.12	0	25506.9	0	0	0	8003.27
103000	103	4.4029	26417.4	0	5350.6	4381.54	0	25886	0	0	0	8061.26
104000	104	4.34851	26091.1	0	5395.91	4198.38	0	25976	0	0	0	8672.8
105000	105	4.46142	26768.5	0	5269.8	4382.16	0	25968.4	0	0	0	19234.7
106000	106	4.38071	26284.3	0	5546.4	4680.69	0	25601.5	0	0	0	7694.48
107000	107	4.44933	26696	0	5705.82	4526.58	0	25801	0	0	0	7959.54
108000	108	4.40361	26421.7	0	5391.75	4375.39	0	25665.9	0	0	0	7683.29
109000	109	4.36629	26197.8	0	5126.16	4351.24	0	25657.6	0	0	0	7349.94
110000	110	4.47554	26853.2	0	5429.07	4345.45	0	25410.3	0	0	0	7595.58
111000	111	4.34294	26057.6	0	5416.06	4468.02	0	25453.7	0	0	0	7712.97
112000	112	4.4222	26533.2	0	5438.23	4522.4	0	25866.7	0	0	0	7782.16
113000	113	4.4277	26566.2	0	5546.21	4570.25	0	25738.4	0	0	0	7827.82
114000	114	4.50098	27005.9	0	5099.63	4524.06	0	25806.7	0	0	0	7570.15
115000	115	4.5211	27126.6	0	5538.73	4649.08	0	25487.2	0	0	0	8005.41
116000	116	4.42506	26550.4	0	5246.75	4345.88	0	25459.7	0	0	0	7782.41
117000	117	4.39836	26390.2	0	5291.92	4109.77	0	25507.6	0	0	0	8176.92
118000	118	4.39559	26373.5	0	5335.73	4471.09	0	25327.3	0	0	0	7828.3
119000	119	4.49137	26948.2	0	5289.03	4312.91	0	25431.1	0	0	0	7449.37
120000	120	4.49736	26984.1	0	5097.89	4239.63	0	25646.3	0	0	0	7711.96
121000	121	4.34276	26056.5	0	4978.45	4463.32	0	25359.9	0	0	0	7832.31
122000	122	4.36269	26176.2	0	5077.32	4297.36	0	25492.2	0	0	0	7472.8
123000	123	4.50733	27044	0	5095.11	4464.99	0	25613.5	0	0	0	8189.98
124000	124	4.50816	27049	0	5133.87	4196.79	0	25588.8	0	0	0	8164.16
125000	125	4.52752	27165.1	0	5443.27	4273.98	0	25580.2	0	0	0	7963.46
126000	126	4.24827	25489.6	0	5385.7	4642.07	0	25922	0	0	0	8338.38
127000	127	4.3809	26285.4	0	5406.46	4484.01	0	25324.5	0	0	0	8022.3
128000	128	4.3862	26317.2	0	5275.53	4211.8	0	25597.9	0	0	0	7794.7
129000	129	4.44168	26650.1	0	5380.64	4198.41	0	25163.4	0	0	0	7686.83
130000	130	4.31495	25889.7	0	5021.81	4189.26	0	25050.5	0	0	0	7838.12
131000	131	4.46671	26800.2	0	5318.36	4390.59	0	25126.9	0	0	0	7628.81
132000	132	4.32486	25949.2	0	5277.8	4462.75	0	25020	0	0	0	7529.48
133000	133	4.49988	26999.3	0	5056.38	4389.28	0	25179.6	0	0	0	7707.9
134000	134	4.46349	26780.9	0	5198.96	4593.03	0	25402.7	0	0	0	8580.29
135000	135	4.45417	26725	0	5289.1	4396.19	0	25570.2	0	0	0	7643.12
136000	136	4.4028	26416.8	0	5293.62	4361.72	0	25642.6	0	0	0	8192.59
137000	137	4.46099	26765.9	0	5371.23	4626.81	0	25309.4	0	0	0	7768.08
138000	138	4.35779	26146.7	0	5371.8	4245.45	0	25632	0	0	0	8022.24
139000	139	4.38384	26303	0	5491.47	4182.29	0	25337.5	0	0	0	7607.16
140000	140	4.39576	26374.6	0	5069.6	4468.43	0	25832.1	0	0	0	7842.82
141000	141	4.47596	26855.7	0	5176	4332.92	0	25373	0	0	0	7448.68
142000	142	4.58767	27526	0	5204.89	4632.84	0	25709.9	0	0	0	7632.31
143000	143	4.42525	26551.5	0	5206.89	4368.38	0	25469.8	0	0	0	7623.45
144000	144	4.40826	26449.5	0	5240.41	4452.54	0	25263.7	0	0	0	8231.38
145000	145	4.32119	25927.2	0	5065.93	4340.86	0	25608.7	0	0	0	7255.58
146000	146	4.47035	26822.1	0	4922.24	4559.18	0	25740.3	0	0	0	8159.77
147000	147	4.36378	26182.7	0	5067.69	4580.38	0	25871	0	0	0	7759.48
148000	148	4.47873	26872.4	0	5014.13	4389.98	0	25054.6	0	0	0	7626.68
149000	149	4.45611	26736.6	0	5125.97	4231.31	0	25312.7	0	0	0	7579.71
150000	150	4.39225	26353.5	0	5230.04	4219.56	0	25277.3	0	0	0	7880.49
151000	151	4.48142	26888.5	0	5430.08	4242.46	0	25010	0	0	0	7834.88
152000	152	4.55835	27350.1	0	5154.21	4350.62	0	25377.5	0	0	0	7785.17
153000	153	4.49863	26991.8	0	4928.28	4444.52	0	25216.7	0	0	0	7516.42
154000	154	4.44568	26674.1	0	5275.34	4556.97	0	24992.7	0	0	0	7469.69
155000	155	4.35495	26129.7	0	5142.27	4523.07	0	25936.8	0	0	0	7826.81
156000	156	4.41829	26509.7	0	5057.09	4536.82	0	25740.1	0	0	0	8778.23
157000	157	4.42339	26540.3	0	5283.01	4605.3	0	25690.5	0	0	0	7593.91
158000	158	4.4312	26587.2	0	5192.23	4312.22	0	26008.5	0	0	0	8053.05
159000	159	4.45356	26721.4	0	4955.49	4484.38	0	25962.6	0	0	0	7556.17
160000	160	4.48544	26912.7	0	4764.76	4248.33	0	25524.3	0	0	0	7788.94
161000	161	4.36413	26184.8	0	5262.03	4692.65	0	25693.8	0	0	0	8588.63
162000	162	4.36646	26198.7	0	5147.82	4389.73	0	25606.8	0	0	0	7725.51
163000	163	4.40813	26448.8	0	5345.6	4440.49	0	25493.2	0	0	0	7570.76
164000	164	4.46117	26767	0	5004.61	4423.65	0	26184.6	0	0	0	9084.24
165000	165	4.47039	26822.3	0	5114.64	4701.34	0	25556.5	0	0	0	7713.46
166000	166	4.45453	26727.2	0	5361.72	4322.52	0	25813.2	0	0	0	7988.06
167000	167	4.35164	26109.8	0	5116.86	4412.72	0	25440.5	0	0	0	7893.33
168000	168	4.48496	26909.8	0	5113.24	4553.75	0	25554.1	0	0	0	8803.63
169000	169	4.43489	26609.3	0	5162.28	4369.46	0	25568.3	0	0	0	8097.98
170000	170	4.42447	26546.8	0	5219.25	4403.47	0	25487.3	0	0	0	7670.07
171000	171	4.40168	26410.1	0	5258.5	4462.36	0	25596.1	0	0	0	8104.79
172000	172	4.50365	27021.9	0	5333.04	4471.8	0	25923	0	0	0	7597.9
173000	173	4.43143	26588.6	0	5432.42	4566.89	0	25873.3	0	0	0	7734.02
174000	174	4.44106	26646.3	0	5315.33	4352.68	0	25752.2	0	0	0	8364.28
175000	175	4.37949	26276.9	0	5051.45	4285.73	0	25200.3	0	0	0	8833.29
176000	176	4.38154	26289.3	0	5580.54	4623.6	0	25530.7	0	0	0	7785.73
177000	177	4.4548	26728.8	0	5257.07	4521.96	0	25303.2	0	0	0	7815.25
178000	178	4.48814	26928.8	0	5116.53	4322.14	0	25271.6	0	0	0	7835.84
179000	179	4.38882	26332.9	0	5316.13	4452.58	0	25328.8	0	0	0	7938.54
180000	180	4.43374	26602.5	0	5219.11	4411.86	0	25983.6	0	0	0	8522.79
181000	181	4.35046	26102.8	0	5345.08	4531.05	0	25773.1	0	0	0	7570.34
182000	182	4.37808	26268.5	0	5344.14	4509.31	0	25306.5	0	0	0	8074.01
183000	183	4.4533	26719.8	0	5358.22	4413.4	0	25083.5	0	0	0	7984.71
184000	184	4.38775	26326.5	0	5022.35	4474.44	0	25491.2	0	0	0	7697.92
185000	185	4.44517	26671	0	5569.21	4371.75	0	25632.4	0	0	0	7981.7
186000	186	4.40672	26440.3	0	5114.91	4254.13	0	25604.1	0	0	0	8311.54
187000	187	4.40154	26409.3	0	5262.09	4244.46	0	25379.7	0	0	0	8043.12
188000	188	4.43608	26616.5	0	5182.98	4252.16	0	25890	0	0	0	7922.92
189000	189	4.41053	26463.2	0	5274.31	4418.94	0	26017.7	0	0	0	7803.35
190000	190	4.48443	26906.6	0	5133.1	4408.53	0	25262.8	0	0	0	7987.81
191000	191	4.47255	26835.3	0	5376.83	4636.4	0	25682.7	0	0	0	8249.42
192000	192	4.36428	26185.7	0	5080.66	4467.5	0	25755.3	0	0	0	7571.77
193000	193	4.3776	26265.6	0	5461.02	4503.05	0	25850.9	0	0	0	7729.85
194000	194	4.43531	26611.9	0	5048.24	4557.08	0	25407.1	0	0	0	7510.97
195000	195	4.27075	25624.5	0	5478.79	4293.52	0	25168	0	0	0	7648.27
196000	196	4.38466	26308	0	5271.51	4402.44	0	25077.5	0	0	0	7880.76
197000	197	4.38542	26312.5	0	5628.38	4457.5	0	25628.1	0	0	0	7478.23
198000	198	4.36792	26207.5	0	5050.48	4443.28	0	25293.1	0	0	0	7968.49
199000	199	4.4129	26477.4	0	4922.09	4259.18	0	25453.7	0	0	0	7488.26
200000	200	4.33567	26014	0	5286.16	4547.39	0	25655.7	0	0	0	7898.96
201000	201	4.47687	26861.2	0	5237.54	4560.14	0	26058.8	0	0	0	8281.4
202000	202	4.49182	26950.9	0	5472.31	4328.47	0	25891.6	0	0	0	7989.27
203000	203	4.507	27042	0	5574.74	4580.7	0	25792.9	0	0	0	7911.72
204000	204	4.6169	27701.4	0	5106.92	4575.13	0	25535.4	0	0	0	7900.54
205000	205	4.49572	26974.3	0	5169.8	4631.53	0	25791.5	0	0	0	7986.69
206000	206	4.4564	26738.4	0	5112.06	4321.02	0	25669.6	0	0	0	7611
207000	207	4.48105	26886.3	0	4951.02	4440.83	0	25701	0	0	0	7556.79
208000	208	4.34985	26099.1	0	5279.9	4368.47	0	26074.4	0	0	0	7981.01
209000	209	4.43125	26587.5	0	5670.41	4575.16	0	25917.3	0	0	0	7550.61
210000	210	4.35214	26112.8	0	5552.04	4357.1	0	25880.8	0	0	0	7809.49
211000	211	4.4715	26829	0	4850.94	4589.99	0	25757	0	0	0	7532.21
212000	212	4.43323	26599.4	0	5039.48	4497.85	0	25389.9	0	0	0	7829.39
213000	213	4.49728	26983.7	0	5404.6	4414.73	0	25353.3	0	0	0	7904.96
214000	214	4.47774	26866.4	0	5392.09	4459.85	0	25516.2	0	0	0	7860.77
215000	215	4.3434	26060.4	0	5339.28	4387.02	0	25576.2	0	0	0	7412.16
216000	216	4.44077	26644.6	0	4938.19	4264.55	0	25796	0	0	0	7988
217000	217	4.5308	27184.8	0	4932.21	4482.33	0	25477.9	0	0	0	8039.84
218000	218	4.40382	26422.9	0	4974.13	4234.06	0	25548.8	0	0	0	8026.59
219000	219	4.49812	26988.7	0	5169.58	4379.57	0	25752.9	0	0	0	8116.96
220000	220	4.55546	27332.8	0	5154.12	4274.66	0	25530.4	0	0	0	8460.41
221000	221	4.37963	26277.8	0	5125.81	4709.47	0	25586.4	0	0	0	8009.34
222000	222	4.40086	26405.2	0	5232.04	4417.01	0	26024.5	0	0	0	8102.63
223000	223	4.36231	26173.9	0	5068.04	4569.09	0	26007.6	0	0	0	7677.99
224000	224	4.46647	26798.8	0	5344.97	4089.34	0	25741.2	0	0	0	8016.16
225000	225	4.36904	26214.2	0	5533.81	4301.03	0	25415.1	0	0	0	7484.26
226000	226	4.45519	26731.1	0	4909.14	4604.57	0	25650.6	0	0	0	7779.65
227000	227	4.34688	26081.3	0	4931.37	4468.1	0	25468.2	0	0	0	7994.21
228000	228	4.44531	26671.8	0	5404.85	4397.22	0	25562.4	0	0	0	7960.46
229000	229	4.49962	26997.7	0	5351.77	4388.78	0	26037.4	0	0	0	7833.85
230000	230	4.44807	26688.4	0	4920.54	4678.49	0	25605	0	0	0	8288.35
231000	231	4.35529	26131.7	0	5495.09	4611.02	0	25018.3	0	0	0	7809.56
232000	232	4.42126	26527.5	0	5129.89	4480.23	0	25355	0	0	0	7582.05
233000	233	4.46406	26784.3	0	5069.44	4374.56	0	25799.5	0	0	0	7607.9
234000	234	4.41962	26517.7	0	5272.94	4711.91	0	25670.1	0	0	0	7731.07
235000	235	4.33535	26012.1	0	5266.15	4268.15	0	25343	0	0	0	7528.71
236000	236	4.44944	26696.6	0	5125.92	4321.85	0	25360.5	0	0	0	7342.17
237000	237	4.47209	26832.5	0	5197.16	4224.6	0	25448.8	0	0	0	7871.95
238000	238	4.2921	25752.6	0	5339.94	4594.78	0	25940.4	0	0	0	7615.33
239000	239	4.37637	26258.2	0	5172.56	4751.59	0	25554.1	0	0	0	8657.14
