# cr len_gsub pn mw mn pdi
2.100000000000000000e+01 1.979000000000000000e+03 1.010611419909045017e+00 1.020999999999943064e+00 1.010611419909045017e+00 1.010279499999943598e+00
2.600000000000000000e+01 1.974000000000000000e+03 1.013171225937183451e+00 1.025999999999942736e+00 1.013171225937183451e+00 1.012661999999943330e+00
2.700000000000000000e+01 1.973000000000000000e+03 1.013684744044602182e+00 1.026999999999942625e+00 1.013684744044602182e+00 1.013135499999943345e+00
2.900000000000000000e+01 1.971000000000000000e+03 1.014713343480466712e+00 1.028999999999942627e+00 1.014713343480466712e+00 1.014079499999943623e+00
3.000000000000000000e+01 1.970000000000000000e+03 1.015228426395939021e+00 1.029999999999942739e+00 1.015228426395939021e+00 1.014549999999943664e+00
3.200000000000000000e+01 1.968000000000000000e+03 1.016260162601626105e+00 1.031999999999942741e+00 1.016260162601626105e+00 1.015487999999943547e+00
3.400000000000000000e+01 1.966000000000000000e+03 1.017293997965412089e+00 1.033999999999942521e+00 1.017293997965412089e+00 1.016421999999943315e+00
3.600000000000000000e+01 1.964000000000000000e+03 1.018329938900203624e+00 1.036999999999942412e+00 1.018329938900203624e+00 1.018333999999943451e+00
3.700000000000000000e+01 1.963000000000000000e+03 1.018848700967906362e+00 1.037999999999942302e+00 1.018848700967906362e+00 1.018796999999943331e+00
3.800000000000000000e+01 1.962000000000000000e+03 1.019367991845055998e+00 1.039999999999942304e+00 1.019367991845055998e+00 1.020239999999943414e+00
3.900000000000000000e+01 1.961000000000000000e+03 1.019887812340642519e+00 1.040999999999942416e+00 1.019887812340642519e+00 1.020700499999943611e+00
4.100000000000000000e+01 1.959000000000000000e+03 1.020929045431342441e+00 1.042999999999942418e+00 1.020929045431342441e+00 1.021618499999943586e+00
4.200000000000000000e+01 1.958000000000000000e+03 1.021450459652706755e+00 1.043999999999942307e+00 1.021450459652706755e+00 1.022075999999943585e+00
4.300000000000000000e+01 1.957000000000000000e+03 1.021972406745017992e+00 1.044999999999942197e+00 1.021972406745017992e+00 1.022532499999943223e+00
4.700000000000000000e+01 1.953000000000000000e+03 1.024065540194572410e+00 1.049999999999941869e+00 1.024065540194572410e+00 1.025324999999943199e+00
4.800000000000000000e+01 1.952000000000000000e+03 1.024590163934426146e+00 1.050999999999941759e+00 1.024590163934426146e+00 1.025775999999943178e+00
4.900000000000000000e+01 1.951000000000000000e+03 1.025115325474115879e+00 1.051999999999941648e+00 1.025115325474115879e+00 1.026225999999943017e+00
5.100000000000000000e+01 1.949000000000000000e+03 1.026167265264237960e+00 1.053999999999941428e+00 1.026167265264237960e+00 1.027122999999942943e+00
5.200000000000000000e+01 1.948000000000000000e+03 1.026694045174537884e+00 1.055999999999941430e+00 1.026694045174537884e+00 1.028543999999943059e+00
5.400000000000000000e+01 1.946000000000000000e+03 1.027749229188078095e+00 1.057999999999941432e+00 1.027749229188078095e+00 1.029433999999943117e+00
5.500000000000000000e+01 1.945000000000000000e+03 1.028277634961439535e+00 1.058999999999941322e+00 1.028277634961439535e+00 1.029877499999942936e+00
5.600000000000000000e+01 1.944000000000000000e+03 1.028806584362139898e+00 1.059999999999941434e+00 1.028806584362139898e+00 1.030319999999943059e+00
5.800000000000000000e+01 1.942000000000000000e+03 1.029866117404737436e+00 1.061999999999941435e+00 1.029866117404737436e+00 1.031201999999943109e+00
6.000000000000000000e+01 1.940000000000000000e+03 1.030927835051546282e+00 1.063999999999941659e+00 1.030927835051546282e+00 1.032079999999943487e+00
6.100000000000000000e+01 1.939000000000000000e+03 1.031459515214027789e+00 1.064999999999941549e+00 1.031459515214027789e+00 1.032517499999943356e+00
6.200000000000000000e+01 1.938000000000000000e+03 1.031991744066047545e+00 1.065999999999941439e+00 1.031991744066047545e+00 1.032953999999943084e+00
6.300000000000000000e+01 1.937000000000000000e+03 1.032524522457408445e+00 1.066999999999941329e+00 1.032524522457408445e+00 1.033389499999943117e+00
6.500000000000000000e+01 1.935000000000000000e+03 1.033591731266149782e+00 1.068999999999941108e+00 1.033591731266149782e+00 1.034257499999943208e+00
6.600000000000000000e+01 1.934000000000000000e+03 1.034126163391933861e+00 1.070999999999940888e+00 1.034126163391933861e+00 1.035656999999942762e+00
6.700000000000000000e+01 1.933000000000000000e+03 1.034661148473874803e+00 1.071999999999940778e+00 1.034661148473874803e+00 1.036087999999942832e+00
6.900000000000000000e+01 1.931000000000000000e+03 1.035732780942516751e+00 1.073999999999940558e+00 1.035732780942516751e+00 1.036946999999942776e+00
7.000000000000000000e+01 1.930000000000000000e+03 1.036269430051813378e+00 1.075999999999940338e+00 1.036269430051813378e+00 1.038339999999942531e+00
