step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0
170000	170	4.40394	26423.6	0	5203	4312.06	0	25556.6	0	0	0
171000	171	4.46834	26810	0	5061.49	4386.31	0	25857.2	0	0	0
172000	172	4.43359	26601.5	0	4914.45	4470.92	0	25687.8	0	0	0
173000	173	4.39662	26379.7	0	5338.15	4465.13	0	25306.1	0	0	0
174000	174	4.42205	26532.3	0	5036.32	4489.88	0	25756.2	0	0	0
175000	175	4.43375	26602.5	0	5300.65	4392.9	0	25677.7	0	0	0
176000	176	4.46987	26819.2	0	5008.15	4382.31	0	25755.7	0	0	0
177000	177	4.46968	26818.1	0	5260.58	4377.56	0	25211.2	0	0	0
178000	178	4.48091	26885.5	0	4719.28	4531.12	0	25493.4	0	0	0
179000	179	4.31496	25889.8	0	5311.24	4426.19	0	25642.1	0	0	0
180000	180	4.44849	26691	0	5357.79	4462.32	0	25494.7	0	0	0
181000	181	4.53724	27223.4	0	5383.87	4685.72	0	25372.6	0	0	0
182000	182	4.43598	26615.9	0	5083.25	4385.44	0	25253.1	0	0	0
183000	183	4.40721	26443.3	0	5069.57	4655	0	25340.9	0	0	0
184000	184	4.43569	26614.1	0	5412.7	4732.92	0	25459.8	0	0	0
185000	185	4.43388	26603.3	0	5155.92	4378.21	0	25308.8	0	0	0
186000	186	4.33765	26025.9	0	5290.02	4415.61	0	25344.5	0	0	0
187000	187	4.39746	26384.7	0	5317.01	4542.01	0	25781.3	0	0	0
188000	188	4.47267	26836	0	4953.11	4295.5	0	25360.2	0	0	0
189000	189	4.45861	26751.7	0	5103.83	4215.07	0	25115.9	0	0	0
190000	190	4.42321	26539.3	0	5094.97	4400.21	0	25458.8	0	0	0
191000	191	4.41166	26470	0	5128.47	4324.74	0	25088.9	0	0	0
192000	192	4.36216	26173	0	5074.26	4365.13	0	25255.5	0	0	0
193000	193	4.43939	26636.4	0	4955.05	4493.39	0	25456.9	0	0	0
194000	194	4.46553	26793.2	0	5181.35	4585.2	0	25803.2	0	0	0
195000	195	4.49909	26994.5	0	5023.26	4306.01	0	25519	0	0	0
196000	196	4.38932	26335.9	0	5267.09	4420.09	0	25616.8	0	0	0
197000	197	4.44425	26665.5	0	5173.11	4377.42	0	25010.6	0	0	0
198000	198	4.37182	26230.9	0	4992.41	4411.44	0	25536.2	0	0	0
199000	199	4.44949	26697	0	5003.67	4289.79	0	25579.9	0	0	0
200000	200	4.4668	26800.8	0	5331.4	4379.2	0	25622.2	0	0	0
201000	201	4.47714	26862.9	0	5498.73	4477.41	0	25413.3	0	0	0
202000	202	4.38795	26327.7	0	5147.05	4565.68	0	25715	0	0	0
203000	203	4.41648	26498.9	0	5139.47	4291.46	0	25297.1	0	0	0
204000	204	4.46149	26769	0	5358.56	4657.57	0	25342.9	0	0	0
205000	205	4.51437	27086.2	0	4995.86	4429.41	0	25707.1	0	0	0
206000	206	4.52067	27124	0	5324.02	4656.9	0	25930.9	0	0	0
207000	207	4.45897	26753.8	0	5194.46	4565.51	0	25581.1	0	0	0
208000	208	4.25398	25523.9	0	4952.12	4550.77	0	25531.3	0	0	0
209000	209	4.47296	26837.7	0	5228.68	4293.71	0	25316.3	0	0	0
210000	210	4.38415	26304.9	0	5194.38	4512.97	0	25631.9	0	0	0
211000	211	4.47905	26874.3	0	5296.86	4354.76	0	25950.1	0	0	0
212000	212	4.46138	26768.3	0	5154.81	4409.13	0	25382.3	0	0	0
213000	213	4.49714	26982.9	0	5154.72	4326.53	0	25703.9	0	0	0
214000	214	4.3738	26242.8	0	5095.85	4358.57	0	25937	0	0	0
215000	215	4.4829	26897.4	0	5289.59	4334.89	0	25723.3	0	0	0
216000	216	4.41353	26481.2	0	5168.28	4436.3	0	25781.5	0	0	0
217000	217	4.49866	26991.9	0	5253.84	4404.28	0	26046.5	0	0	0
218000	218	4.27356	25641.4	0	5032.36	4293.24	0	25898.9	0	0	0
219000	219	4.41223	26473.4	0	5510.56	4451.8	0	25518.4	0	0	0
220000	220	4.53394	27203.6	0	5335.78	4683.05	0	25401.9	0	0	0
221000	221	4.37891	26273.5	0	5197.62	4482.32	0	25097.4	0	0	0
222000	222	4.44716	26683	0	5279.77	4364.98	0	25305.8	0	0	0
223000	223	4.38753	26325.2	0	5306.11	4550.87	0	25184.2	0	0	0
224000	224	4.58711	27522.7	0	5120.22	4273.85	0	25629.9	0	0	0
225000	225	4.38748	26324.9	0	5185.96	4459.75	0	25720	0	0	0
226000	226	4.51705	27102.3	0	5330.85	4247.77	0	25179.6	0	0	0
227000	227	4.36961	26217.7	0	5009.8	4417.63	0	25458.2	0	0	0
228000	228	4.48734	26924	0	5358.24	4457.78	0	25927.2	0	0	0
229000	229	4.42342	26540.5	0	5206.92	4750.08	0	25411.7	0	0	0
230000	230	4.41851	26511.1	0	5213.05	4218.87	0	25672.7	0	0	0
231000	231	4.43498	26609.9	0	5049.73	4583.86	0	25255.8	0	0	0
232000	232	4.30159	25809.5	0	5002.92	4610.65	0	25171.4	0	0	0
233000	233	4.37386	26243.2	0	4971.49	4387.12	0	25901.4	0	0	0
234000	234	4.54039	27242.3	0	5241.17	4272.84	0	25437.6	0	0	0
235000	235	4.38027	26281.6	0	5279.15	4434.63	0	25808.6	0	0	0
236000	236	4.45139	26708.4	0	5179.68	4494.8	0	25661.1	0	0	0
237000	237	4.48896	26933.8	0	5023.83	4563.36	0	25303.4	0	0	0
238000	238	4.35804	26148.2	0	5040.21	4348.3	0	25635.5	0	0	0
239000	239	4.37838	26270.3	0	5188.79	4515.49	0	25537	0	0	0
240000	240	4.37316	26239	0	5226.94	4630.57	0	25210.9	0	0	0
241000	241	4.35195	26111.7	0	5420.18	4459.56	0	25616.4	0	0	0
242000	242	4.44573	26674.4	0	5246.99	4806.92	0	24947.2	0	0	0
243000	243	4.42369	26542.2	0	5203.48	4431.26	0	26002.6	0	0	0
244000	244	4.4815	26889	0	5440.4	4561.72	0	25546	0	0	0
245000	245	4.42716	26563	0	5159.6	4447.15	0	25593.1	0	0	0
246000	246	4.36759	26205.6	0	5165.92	4632.82	0	25794.6	0	0	0
247000	247	4.49304	26958.3	0	4747.21	4369.8	0	25868.5	0	0	0
248000	248	4.46966	26818	0	5172.15	4391.1	0	25704.3	0	0	0
249000	249	4.47468	26848.1	0	5043.83	4275.75	0	25899.1	0	0	0
250000	250	4.52735	27164.1	0	5085.4	4324.97	0	25432.9	0	0	0
251000	251	4.43315	26598.9	0	4834.48	4352.45	0	25364.8	0	0	0
252000	252	4.50508	27030.5	0	5142.14	4571.17	0	25388	0	0	0
253000	253	4.41894	26513.7	0	5326.56	4339.56	0	25379.7	0	0	0
254000	254	4.42904	26574.2	0	5037.45	4348.13	0	25443.3	0	0	0
255000	255	4.43226	26593.5	0	5012.59	4221.74	0	25343.5	0	0	0
256000	256	4.38173	26290.4	0	5312.67	4486.67	0	25519.9	0	0	0
257000	257	4.4375	26625	0	5137.78	4445.97	0	25472.9	0	0	0
258000	258	4.53263	27195.8	0	5416.81	4590.83	0	25822.9	0	0	0
259000	259	4.4809	26885.4	0	5207.98	4749.83	0	26028.9	0	0	0
260000	260	4.3616	26169.6	0	5337.05	4674.17	0	25466.7	0	0	0
261000	261	4.39722	26383.3	0	5009.93	4362.7	0	25330.1	0	0	0
262000	262	4.51341	27080.5	0	5147.36	4442.34	0	25837.8	0	0	0
263000	263	4.47094	26825.7	0	5219.55	4398.99	0	25532.5	0	0	0
264000	264	4.30737	25844.2	0	5139.36	4494.88	0	25245.8	0	0	0
265000	265	4.42323	26539.4	0	5454.61	4308.32	0	25407.9	0	0	0
266000	266	4.45262	26715.7	0	5245.52	4486.17	0	25845.9	0	0	0
267000	267	4.3765	26259	0	5374.64	4361.19	0	25721.7	0	0	0
268000	268	4.45919	26755.1	0	5541.01	4338.38	0	25606.1	0	0	0
269000	269	4.39374	26362.4	0	5045.19	4322.7	0	25593.3	0	0	0
270000	270	4.46203	26772.2	0	5272.79	4408.12	0	25608.8	0	0	0
271000	271	4.41023	26461.4	0	5111.02	4524.68	0	25630	0	0	0
272000	272	4.41963	26517.8	0	5040.49	4454.05	0	25297.5	0	0	0
273000	273	4.39694	26381.6	0	5343.71	4568.49	0	25649.2	0	0	0
274000	274	4.42232	26533.9	0	5366.06	4501.04	0	25614.8	0	0	0
275000	275	4.41763	26505.8	0	4915.37	4382.95	0	25799.7	0	0	0
276000	276	4.47548	26852.9	0	5064.17	4487.2	0	25300.2	0	0	0
277000	277	4.3902	26341.2	0	5598.37	4224.47	0	25427.5	0	0	0
278000	278	4.45819	26749.1	0	4974.97	4526.79	0	25756.2	0	0	0
279000	279	4.35056	26103.4	0	5336.29	4563.09	0	25428.5	0	0	0
280000	280	4.51931	27115.9	0	5340.84	4497.38	0	25623.7	0	0	0
281000	281	4.45216	26713	0	5144.53	4254.12	0	26009.9	0	0	0
282000	282	4.4033	26419.8	0	5379.81	4253.2	0	25782.8	0	0	0
283000	283	4.46954	26817.3	0	5189.13	4282.04	0	25498.8	0	0	0
284000	284	4.41595	26495.7	0	4803.81	4652.58	0	25540.5	0	0	0
285000	285	4.45133	26708	0	5387.86	4213.99	0	25595.1	0	0	0
286000	286	4.46757	26805.4	0	5166.85	4714.15	0	25428.7	0	0	0
287000	287	4.36065	26163.9	0	5363.96	4281.7	0	25733	0	0	0
288000	288	4.48818	26929.1	0	4993.24	4630.18	0	26063.2	0	0	0
289000	289	4.3963	26377.8	0	5271.35	4684.92	0	25938.4	0	0	0
290000	290	4.4621	26772.6	0	5252.58	4768.56	0	25901.2	0	0	0
291000	291	4.40309	26418.5	0	5045.61	4473.95	0	25366.3	0	0	0
292000	292	4.27052	25623.1	0	5469.55	4207.09	0	25785.6	0	0	0
