step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	tab-scaled_0	cr_3	count_0	res_fpl_0
115000	115	4.42558	26553.5	0	4976.34	4550.71	0	15818.8	0	9505.37	0	0	-nan
116000	116	4.52979	27178.7	0	5060.06	4375.14	0	15889.2	0	9581.44	0	0	-nan
117000	117	4.41076	26464.5	0	5421.04	4539.42	0	15441.8	0	10170.8	0	0	-nan
118000	118	4.38417	26305	0	5359.68	4418.59	0	15511.6	0	10293.8	0	0	-nan
119000	119	4.34885	26093.1	0	5318.42	4489.13	0	15402.4	0	9994.5	0	0	-nan
120000	120	4.44619	26677.1	0	5211.61	4445.05	0	15064.2	0	10312.4	0	0	-nan
121000	121	4.56652	27399.1	0	5065.94	4701.04	0	15520.1	0	10077	0	0	-nan
122000	122	4.56475	27388.5	0	5094.44	4508.4	0	15344.1	0	10122.7	0	0	-nan
123000	123	4.41204	26472.2	0	5123.63	4415.21	0	15448.2	0	9934.63	0	0	-nan
124000	124	4.39094	26345.7	0	5104.1	4500.07	0	15569.1	0	9813.57	0	0	-nan
125000	125	4.46014	26760.8	0	5100.23	4659.5	0	15592.6	0	9903.69	0	0	-nan
126000	126	4.44514	26670.8	0	5215.62	4587.3	0	16053.4	0	9884.52	0	0	-nan
127000	127	4.50359	27021.5	0	5075.73	4385.46	0	15862.9	0	9954.92	0	0	-nan
128000	128	4.37168	26230.1	0	5089.79	4399.39	0	15550.1	0	9974.6	0	0	-nan
129000	129	4.46928	26815.7	0	5203.58	4496.29	0	15380.1	0	10244.8	0	0	-nan
130000	130	4.38428	26305.7	0	5487.97	4639.06	0	15385.8	0	10088.9	0	0	-nan
131000	131	4.4121	26472.6	0	5015.73	4428.68	0	15198.4	0	10001.8	0	0	-nan
132000	132	4.3187	25912.2	0	5336.8	4859.3	0	15514.7	0	9978.51	0	0	-nan
133000	133	4.5001	27000.6	0	5290.07	4431.76	0	15628.8	0	10308.9	0	0	-nan
134000	134	4.31712	25902.7	0	5111.64	4418.8	0	15724.2	0	9861.78	0	0	-nan
135000	135	4.44905	26694.3	0	5347.18	4328.26	0	15548.2	0	10021.3	0	0	-nan
136000	136	4.49682	26980.9	0	5428.72	4586.88	0	15740.8	0	10003.5	0	0	-nan
137000	137	4.3599	26159.4	0	5159.23	4371.66	0	15736	0	10077.1	0	0	-nan
138000	138	4.43586	26615.1	0	5161.32	4423.56	0	15620.1	0	9744	0	0	-nan
139000	139	4.40359	26421.5	0	5173.43	4356.7	0	15836.9	0	9925.11	0	0	-nan
140000	140	4.32274	25936.5	0	5272.42	4563.67	0	15862.1	0	9929.74	0	0	-nan
141000	141	4.46256	26775.3	0	5093.08	4292.95	0	15609.9	0	10055.2	0	0	-nan
142000	142	4.53544	27212.7	0	5160.49	4390.84	0	15363.3	0	10002.6	0	0	-nan
143000	143	4.38958	26337.5	0	5163.49	4405.93	0	15730.4	0	10043.1	0	0	-nan
144000	144	4.37656	26259.3	0	5221.43	4518.85	0	15647.9	0	9939.33	0	0	-nan
145000	145	4.39141	26348.5	0	5029.2	4554.51	0	15493	0	9875.74	0	0	-nan
146000	146	4.49371	26962.3	0	5129.01	4540.8	0	15573.8	0	10171.7	0	0	-nan
147000	147	4.41175	26470.5	0	5291.69	4582.47	0	15542	0	10104.3	0	0	-nan
148000	148	4.43194	26591.7	0	5077.05	4457.93	0	15766.5	0	10082.7	0	0	-nan
149000	149	4.47931	26875.9	0	5275.07	4520.02	0	15921.6	0	9716.82	0	0	-nan
150000	150	4.43797	26627.8	0	5423.17	4529.62	0	15685.8	0	9882.87	0	0	-nan
151000	151	4.45862	26751.7	0	5444.15	4629.32	0	15874.8	0	9975.12	0	0	-nan
152000	152	4.42386	26543.1	0	5721.81	4567.2	0	15644.5	0	10106.6	0	0	-nan
153000	153	4.29328	25759.7	0	5562.26	4412.51	0	15486	0	10085.1	0	0	-nan
154000	154	4.43928	26635.7	0	5196.75	4392.34	0	15244.4	0	10148.5	0	0	-nan
155000	155	4.38441	26306.5	0	5136.21	4511.94	0	15434.5	0	9874.92	0	0	-nan
156000	156	4.35534	26132.1	0	5087.64	4137.72	0	15820.6	0	10144.9	0	0	-nan
157000	157	4.43858	26631.5	0	5130.09	4443.01	0	15668.1	0	10068	0	0	-nan
158000	158	4.38737	26324.2	0	5249.32	4808.09	0	15537.4	0	10371.5	0	0	-nan
159000	159	4.41466	26487.9	0	4979.55	4316.56	0	15315.2	0	10440.6	0	0	-nan
160000	160	4.46296	26777.8	0	5198.41	4393.12	0	15635.9	0	10380.3	0	0	-nan
161000	161	4.41485	26489.1	0	5164.39	4546.9	0	15822.3	0	10204.5	0	0	-nan
162000	162	4.43749	26624.9	0	5281.82	4342.51	0	15626.1	0	10502	0	0	-nan
163000	163	4.35027	26101.6	0	5281.22	4504.42	0	15800.9	0	10018.5	0	0	-nan
164000	164	4.45368	26722.1	0	5157.7	4408.43	0	15734.4	0	10212	0	0	-nan
165000	165	4.419	26514	0	5220.96	4371.34	0	15635.3	0	9912.24	0	0	-nan
166000	166	4.46327	26779.6	0	5076.6	4503.32	0	15330.1	0	10070.1	0	0	-nan
167000	167	4.44431	26665.8	0	5246.13	4521.75	0	15479.9	0	10161.4	0	0	-nan
168000	168	4.39976	26398.6	0	5293.47	4379.59	0	15361.8	0	10313	0	0	-nan
169000	169	4.32618	25957.1	0	5152.47	4415.67	0	15222.8	0	10177.3	0	0	-nan
170000	170	4.48136	26888.1	0	4823.8	4339.72	0	15425.7	0	10404	0	0	-nan
171000	171	4.47236	26834.2	0	5168.48	4403.73	0	15136.1	0	10232.7	0	0	-nan
172000	172	4.3578	26146.8	0	5198.54	4316.76	0	15195.9	0	10174.6	0	0	-nan
173000	173	4.40749	26445	0	5533.91	4460.59	0	15502.2	0	9987.83	0	0	-nan
