# mol_id D +/-
1.090000000000000000e+02 1.787199999999999900e+00 1.421999999999999931e-01
1.100000000000000000e+02 4.153000000000000025e-01 8.679000000000000048e-01
1.110000000000000000e+02 3.222999999999999754e-01 3.946999999999999953e-01
1.120000000000000000e+02 7.002100000000000435e+00 2.380100000000000104e+00
1.130000000000000000e+02 1.002480000000000082e+01 5.673499999999999766e+00
1.140000000000000000e+02 6.090300000000000047e+00 5.952600000000000335e+00
1.150000000000000000e+02 9.637999999999999901e-01 2.212400000000000144e+00
1.160000000000000000e+02 2.212000000000000077e-01 1.701999999999999902e-01
1.170000000000000000e+02 7.540000000000000036e-01 1.955300000000000038e+00
1.180000000000000000e+02 1.841000000000000136e-01 1.627000000000000113e-01
1.190000000000000000e+02 6.321100000000000385e+00 5.531500000000000306e+00
1.200000000000000000e+02 -5.735999999999999988e-01 1.358999999999999986e+00
1.210000000000000000e+02 -2.411000000000000087e-01 2.602999999999999758e-01
1.220000000000000000e+02 3.228800000000000114e+00 3.780400000000000205e+00
1.230000000000000000e+02 4.827799999999999869e+00 1.897199999999999998e+00
1.240000000000000000e+02 1.100000000000000006e-01 1.615999999999999936e-01
1.250000000000000000e+02 1.015400000000000080e+00 7.659600000000000186e+00
1.260000000000000000e+02 5.817999999999999838e-01 1.370999999999999996e-01
1.270000000000000000e+02 2.721600000000000019e+00 2.252200000000000202e+00
1.280000000000000000e+02 3.725000000000000089e+00 4.047200000000000131e+00
1.290000000000000000e+02 5.670000000000000040e-02 1.133899999999999908e+00
1.300000000000000000e+02 3.301999999999999935e-01 8.757000000000000339e-01
1.310000000000000000e+02 -1.068000000000000060e-01 4.178999999999999937e-01
1.320000000000000000e+02 2.318999999999999950e-01 4.687000000000000055e-01
1.330000000000000000e+02 1.260999999999999899e-01 1.522999999999999909e-01
1.340000000000000000e+02 1.129999999999999928e-02 4.390999999999999903e-01
1.350000000000000000e+02 -3.865999999999999992e-01 2.255999999999999783e+00
1.360000000000000000e+02 7.620999999999999996e-01 1.746000000000000052e-01
1.370000000000000000e+02 2.467799999999999994e+00 2.481899999999999995e+00
1.380000000000000000e+02 -5.401000000000000245e-01 1.816999999999999948e+00
1.390000000000000000e+02 3.543000000000000038e-01 5.949999999999999734e-01
1.400000000000000000e+02 2.321299999999999919e+00 5.934899999999999842e+00
1.410000000000000000e+02 5.290000000000000258e-02 3.583000000000000074e-01
1.420000000000000000e+02 2.965999999999999748e-01 1.152999999999999997e-01
1.430000000000000000e+02 -9.672000000000000042e-02 3.145999999999999908e-01
1.440000000000000000e+02 5.926000000000000156e-01 5.635999999999999899e-01
1.450000000000000000e+02 -2.586999999999999855e-01 1.049999999999999961e-01
1.460000000000000000e+02 9.130000000000000338e-01 3.202399999999999913e+00
1.470000000000000000e+02 3.094399999999999817e+00 3.040200000000000014e+00
1.480000000000000000e+02 2.091999999999999971e-01 1.166900000000000048e+00
1.490000000000000000e+02 1.163879999999999981e+01 6.978100000000000414e+00
1.500000000000000000e+02 1.321499999999999897e+00 1.555600000000000094e+00
1.510000000000000000e+02 1.774000000000000021e-01 2.828999999999999848e-01
1.520000000000000000e+02 4.648299999999999876e+00 3.734999999999999876e+00
1.530000000000000000e+02 1.467400000000000038e+00 1.943000000000000060e+00
1.540000000000000000e+02 7.030999999999999472e-01 1.474099999999999966e+00
1.550000000000000000e+02 1.039999999999999952e-02 1.158000000000000002e-01
1.560000000000000000e+02 2.604000000000000203e-01 1.590000000000000024e-01
1.570000000000000000e+02 4.282300000000000217e+00 1.045800000000000063e+00
1.580000000000000000e+02 3.255900000000000016e+00 1.379199999999999982e+00
1.590000000000000000e+02 8.107999999999999652e-01 1.737700000000000022e+00
1.600000000000000000e+02 -2.761000000000000121e-01 2.172000000000000042e-01
1.610000000000000000e+02 9.132000000000000117e-01 4.979000000000000092e-01
1.620000000000000000e+02 -2.686999999999999944e-01 5.585999999999999854e-01
1.630000000000000000e+02 -1.824000000000000066e-01 5.577999999999999625e-01
1.640000000000000000e+02 2.659800000000000164e+00 1.700599999999999890e+00
1.650000000000000000e+02 5.265999999999999570e-01 1.479000000000000037e-01
1.660000000000000000e+02 -1.907999999999999974e-01 4.355999999999999872e-01
1.670000000000000000e+02 2.578300000000000036e+00 1.128500000000000059e+00
1.680000000000000000e+02 -1.822000000000000008e-01 1.272999999999999909e+00
1.690000000000000000e+02 3.985500000000000043e+00 1.033259999999999934e+01
1.700000000000000000e+02 8.569999999999999840e-02 1.847199999999999953e+00
1.710000000000000000e+02 -5.152000000000000329e-02 7.814999999999999725e-02
1.720000000000000000e+02 5.159600000000000186e+00 2.278200000000000003e+00
1.730000000000000000e+02 9.684900000000000730e+00 1.768799999999999928e+00
1.740000000000000000e+02 2.093000000000000138e-01 3.982699999999999907e+00
1.750000000000000000e+02 1.961600000000000010e+00 3.914000000000000257e-01
1.760000000000000000e+02 5.193200000000000038e+00 1.352400000000000047e+00
1.770000000000000000e+02 5.424500000000000099e+00 3.130999999999999894e-01
1.780000000000000000e+02 3.892999999999999794e-01 2.903000000000000025e-01
1.790000000000000000e+02 9.149000000000000465e-01 1.669100000000000028e+00
1.800000000000000000e+02 7.423999999999999488e-01 1.703100000000000058e+00
1.810000000000000000e+02 1.367360000000000042e+01 5.744399999999999729e+00
1.820000000000000000e+02 1.750000000000000167e-02 6.529000000000000359e-01
1.830000000000000000e+02 -5.377999999999999448e-01 3.849000000000000199e+00
