step	time	T	Ekin	P	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	tab-dynamic_0	cr_5	count_0
300000	300	4.43509	26610.6	260.446	5253.29	4297.75	0	0	25179.1	0	0	0
301000	301	4.39213	26352.8	256.999	5157.1	4461.59	0	0	25745.5	0	0	0
302000	302	4.33331	25999.8	278.058	5357.39	4479.12	0	0	25479.1	0	0	0
303000	303	4.48417	26905	259.851	5480.78	4286.92	0	0	25406.3	0	0	0
304000	304	4.4498	26698.8	260.731	5182.33	4340.99	0	0	25042.1	0	0	0
305000	305	4.52313	27138.8	277.353	5578.33	4510.36	0	0	25567.1	0	0	0
306000	306	4.51701	27102.1	274.688	5354.31	4460.94	0	0	25618	0	0	0
307000	307	4.41647	26498.8	260.59	5335.41	4377.74	0	0	25800	0	0	0
308000	308	4.53172	27190.3	272.126	5320.01	4309.27	0	0	25528.9	0	0	0
309000	309	4.27822	25669.3	267.825	5223.47	4241.04	0	0	25608.4	0	0	0
310000	310	4.45086	26705.2	269.368	5270.34	4449.93	0	0	25940.1	0	0	0
311000	311	4.45166	26710	271.534	5207.03	4331.86	0	0	25480.5	0	0	0
312000	312	4.40506	26430.4	266.6	5224.49	4443.32	0	0	25736.3	0	0	0
313000	313	4.39209	26352.5	277.514	5151.22	4597.29	0	0	25918.5	0	0	0
314000	314	4.44797	26687.8	270.721	5376.72	4321.25	0	0	25771.7	0	0	0
315000	315	4.3779	26267.4	264.352	5342.96	4546.26	0	0	25680	0	0	0
