# cr num_clusters num_clusters2 size_max_cluster pn mw mn pdi
4.500000000000000000e+01 1.955000000000000000e+03 4.500000000000000000e+01 2.000000000000000000e+00 1.023017902813299296e+00 1.044999999999942419e+00 1.023017902813299296e+00 1.021487499999943704e+00
4.500000000000000000e+01 1.955000000000000000e+03 4.500000000000000000e+01 2.000000000000000000e+00 1.023017902813299296e+00 1.044999999999942419e+00 1.023017902813299296e+00 1.021487499999943704e+00
4.800000000000000000e+01 1.952000000000000000e+03 4.800000000000000000e+01 2.000000000000000000e+00 1.024590163934426146e+00 1.047999999999942311e+00 1.024590163934426146e+00 1.022847999999943802e+00
4.900000000000000000e+01 1.951000000000000000e+03 4.900000000000000000e+01 2.000000000000000000e+00 1.025115325474115879e+00 1.048999999999942201e+00 1.025115325474115879e+00 1.023299499999943629e+00
5.100000000000000000e+01 1.949000000000000000e+03 5.100000000000000000e+01 2.000000000000000000e+00 1.026167265264237960e+00 1.050999999999941981e+00 1.026167265264237960e+00 1.024199499999943530e+00
5.100000000000000000e+01 1.949000000000000000e+03 5.100000000000000000e+01 2.000000000000000000e+00 1.026167265264237960e+00 1.050999999999941981e+00 1.026167265264237960e+00 1.024199499999943530e+00
5.100000000000000000e+01 1.949000000000000000e+03 5.100000000000000000e+01 2.000000000000000000e+00 1.026167265264237960e+00 1.050999999999941981e+00 1.026167265264237960e+00 1.024199499999943530e+00
5.100000000000000000e+01 1.949000000000000000e+03 5.100000000000000000e+01 2.000000000000000000e+00 1.026167265264237960e+00 1.050999999999941981e+00 1.026167265264237960e+00 1.024199499999943530e+00
5.300000000000000000e+01 1.947000000000000000e+03 5.300000000000000000e+01 2.000000000000000000e+00 1.027221366204416952e+00 1.052999999999941982e+00 1.027221366204416952e+00 1.025095499999943538e+00
5.400000000000000000e+01 1.946000000000000000e+03 5.400000000000000000e+01 2.000000000000000000e+00 1.027749229188078095e+00 1.053999999999941872e+00 1.027749229188078095e+00 1.025541999999943554e+00
5.500000000000000000e+01 1.945000000000000000e+03 5.500000000000000000e+01 2.000000000000000000e+00 1.028277634961439535e+00 1.054999999999941762e+00 1.028277634961439535e+00 1.025987499999943431e+00
5.700000000000000000e+01 1.943000000000000000e+03 5.700000000000000000e+01 2.000000000000000000e+00 1.029336078229541984e+00 1.056999999999941764e+00 1.029336078229541984e+00 1.026875499999943431e+00
